,ind1,ind2,combined
8293,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8294,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8295,HIGHER EDUCATION,EDUCATION MANAGEMENT,HIGHER EDUCATION|EDUCATION MANAGEMENT
8296,COMPUTER SOFTWARE,INFORMATION TECHNOLOGY AND SERVICES,COMPUTER SOFTWARE|INFORMATION TECHNOLOGY AND SERVICES
8297,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8298,NONPROFIT ORGANIZATION MANAGEMENT,NON-PROFIT ORGANIZATION MANAGEMENT,NONPROFIT ORGANIZATION MANAGEMENT|NON-PROFIT ORGANIZATION MANAGEMENT
8299,FOOD AND BEVERAGES,FOOD PRODUCTS,FOOD AND BEVERAGES|FOOD PRODUCTS
8300,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
8301,APPAREL AND FASHION,APPAREL AND FASHION,APPAREL AND FASHION|APPAREL AND FASHION
8302,ELECTRICAL/ELECTRONIC MANUFACTURING,CAPITAL MARKETS,ELECTRICAL/ELECTRONIC MANUFACTURING|CAPITAL MARKETS
8303,MARKETING AND ADVERTISING,MEDIA,MARKETING AND ADVERTISING|MEDIA
8304,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
8305,MARITIME,"HOTELS, RESTAURANTS AND LEISURE","MARITIME|HOTELS, RESTAURANTS AND LEISURE"
8306,INTERNET,REAL ESTATE,INTERNET|REAL ESTATE
8307,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8308,PROFESSIONAL TRAINING AND COACHING,PROFESSIONAL TRAINING AND COACHING,PROFESSIONAL TRAINING AND COACHING|PROFESSIONAL TRAINING AND COACHING
8309,COMPUTER SOFTWARE,AUTOMOTIVE,COMPUTER SOFTWARE|AUTOMOTIVE
8310,CAPITAL MARKETS,BANKS,CAPITAL MARKETS|BANKS
8311,WAREHOUSING,AUTOMOTIVE,WAREHOUSING|AUTOMOTIVE
8312,CHEMICALS,CHEMICALS,CHEMICALS|CHEMICALS
8313,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8314,FINANCIAL SERVICES,BANKS,FINANCIAL SERVICES|BANKS
8315,LOGISTICS AND SUPPLY CHAIN,AIR FREIGHT AND LOGISTICS,LOGISTICS AND SUPPLY CHAIN|AIR FREIGHT AND LOGISTICS
8316,BROADCAST MEDIA,DIVERSIFIED TELECOMMUNICATION SERVICES,BROADCAST MEDIA|DIVERSIFIED TELECOMMUNICATION SERVICES
8317,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
8318,COSMETICS,COSMETICS,COSMETICS|COSMETICS
8319,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8320,WAREHOUSING,AUTOMOTIVE,WAREHOUSING|AUTOMOTIVE
8321,CHEMICALS,CHEMICALS,CHEMICALS|CHEMICALS
8322,CHEMICALS,CHEMICALS,CHEMICALS|CHEMICALS
8323,FINANCIAL SERVICES,BANKING,FINANCIAL SERVICES|BANKING
8324,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
8325,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
8326,UTILITIES,ELECTRIC UTILITIES,UTILITIES|ELECTRIC UTILITIES
8327,SPORTS,FINANCIAL SERVICES,SPORTS|FINANCIAL SERVICES
8328,BANKING,BANKING,BANKING|BANKING
8329,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
8330,BIOTECHNOLOGY,EDUCATION SERVICES,BIOTECHNOLOGY|EDUCATION SERVICES
8331,FURNITURE,SPECIALTY RETAIL,FURNITURE|SPECIALTY RETAIL
8332,BROADCAST MEDIA,BROADCAST MEDIA,BROADCAST MEDIA|BROADCAST MEDIA
8333,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8334,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8335,MANAGEMENT CONSULTING,COMMUNICATIONS EQUIPMENT,MANAGEMENT CONSULTING|COMMUNICATIONS EQUIPMENT
8336,RESEARCH,AEROSPACE AND DEFENSE,RESEARCH|AEROSPACE AND DEFENSE
8337,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8338,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8339,BROADCAST MEDIA,BROADCAST MEDIA,BROADCAST MEDIA|BROADCAST MEDIA
8340,CONSUMER GOODS,DIVERSIFIED CONSUMER SERVICES,CONSUMER GOODS|DIVERSIFIED CONSUMER SERVICES
8341,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8342,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
8343,COMPUTER SOFTWARE,COMMUNICATIONS EQUIPMENT,COMPUTER SOFTWARE|COMMUNICATIONS EQUIPMENT
8344,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8345,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8346,REAL ESTATE,REAL ESTATE,REAL ESTATE|REAL ESTATE
8347,CONSTRUCTION,MANAGEMENT CONSULTING,CONSTRUCTION|MANAGEMENT CONSULTING
8348,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8349,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8350,RETAIL,SPECIALIZED CONSUMER SERVICES,RETAIL|SPECIALIZED CONSUMER SERVICES
8351,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8352,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8353,INFORMATION TECHNOLOGY AND SERVICES,COMMERCIAL SERVICES AND SUPPLIES,INFORMATION TECHNOLOGY AND SERVICES|COMMERCIAL SERVICES AND SUPPLIES
8354,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8355,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8356,BANKING,BANKING,BANKING|BANKING
8357,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8358,RETAIL,FOOD PRODUCTS,RETAIL|FOOD PRODUCTS
8359,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8360,PUBLISHING,PUBLISHING,PUBLISHING|PUBLISHING
8361,BIOTECHNOLOGY,BANKS,BIOTECHNOLOGY|BANKS
8362,MARKETING AND ADVERTISING,MEDIA,MARKETING AND ADVERTISING|MEDIA
8363,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8364,CHEMICALS,CHEMICALS,CHEMICALS|CHEMICALS
8365,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8366,UTILITIES,UTILITIES,UTILITIES|UTILITIES
8367,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
8368,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8369,HOSPITAL AND HEALTH CARE,"HEALTH, WELLNESS AND FITNESS","HOSPITAL AND HEALTH CARE|HEALTH, WELLNESS AND FITNESS"
8370,GAMBLING AND CASINOS,GAMBLING AND CASINOS,GAMBLING AND CASINOS|GAMBLING AND CASINOS
8371,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8372,CONSUMER GOODS,CONSUMER GOODS,CONSUMER GOODS|CONSUMER GOODS
8373,GOVERNMENT RELATIONS,COMMERCIAL SERVICES AND SUPPLIES,GOVERNMENT RELATIONS|COMMERCIAL SERVICES AND SUPPLIES
8374,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
8375,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
8376,COMPUTER SOFTWARE,COMMERCIAL SERVICES AND SUPPLIES,COMPUTER SOFTWARE|COMMERCIAL SERVICES AND SUPPLIES
8377,COMPUTER SOFTWARE,DIVERSIFIED CONSUMER SERVICES,COMPUTER SOFTWARE|DIVERSIFIED CONSUMER SERVICES
8378,INTERNET,COMMUNICATIONS EQUIPMENT,INTERNET|COMMUNICATIONS EQUIPMENT
8379,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8380,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8381,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
8382,MACHINERY,MACHINERY,MACHINERY|MACHINERY
8383,FINE ART,FINE ART,FINE ART|FINE ART
8384,MEDIA PRODUCTION,MEDIA PRODUCTION,MEDIA PRODUCTION|MEDIA PRODUCTION
8385,COMPUTER SOFTWARE,ELECTRICAL/ELECTRONIC MANUFACTURING,COMPUTER SOFTWARE|ELECTRICAL/ELECTRONIC MANUFACTURING
8386,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8387,UTILITIES,UTILITIES,UTILITIES|UTILITIES
8388,AIRLINES/AVIATION,AIRLINES/AVIATION,AIRLINES/AVIATION|AIRLINES/AVIATION
8389,BANKING,BANKING,BANKING|BANKING
8390,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8391,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
8392,TELECOMMUNICATIONS,TELECOMMUNICATIONS,TELECOMMUNICATIONS|TELECOMMUNICATIONS
8393,MARKETING AND ADVERTISING,ELECTRICAL/ELECTRONIC MANUFACTURING,MARKETING AND ADVERTISING|ELECTRICAL/ELECTRONIC MANUFACTURING
8394,RESTAURANTS,FOOD PRODUCTS,RESTAURANTS|FOOD PRODUCTS
8395,INFORMATION TECHNOLOGY AND SERVICES,MEDIA,INFORMATION TECHNOLOGY AND SERVICES|MEDIA
8396,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8397,PHARMACEUTICALS,PHARMACEUTICALS,PHARMACEUTICALS|PHARMACEUTICALS
8398,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8399,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8400,MACHINERY,MACHINERY,MACHINERY|MACHINERY
8401,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8402,PUBLIC SAFETY,PUBLIC SAFETY,PUBLIC SAFETY|PUBLIC SAFETY
8403,HUMAN RESOURCES,HUMAN RESOURCES,HUMAN RESOURCES|HUMAN RESOURCES
8404,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8405,BROADCAST MEDIA,BROADCAST MEDIA,BROADCAST MEDIA|BROADCAST MEDIA
8406,AIRLINES/AVIATION,AIRLINES/AVIATION,AIRLINES/AVIATION|AIRLINES/AVIATION
8407,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8408,INFORMATION SERVICES,AEROSPACE AND DEFENSE,INFORMATION SERVICES|AEROSPACE AND DEFENSE
8409,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED FINANCIAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED FINANCIAL SERVICES
8410,INFORMATION TECHNOLOGY AND SERVICES,"TEXTILES, APPAREL AND LUXURY GOODS","INFORMATION TECHNOLOGY AND SERVICES|TEXTILES, APPAREL AND LUXURY GOODS"
8411,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8412,ELECTRICAL/ELECTRONIC MANUFACTURING,ELECTRICAL/ELECTRONIC MANUFACTURING,ELECTRICAL/ELECTRONIC MANUFACTURING|ELECTRICAL/ELECTRONIC MANUFACTURING
8413,ELECTRICAL/ELECTRONIC MANUFACTURING,CONSTRUCTION,ELECTRICAL/ELECTRONIC MANUFACTURING|CONSTRUCTION
8414,TELECOMMUNICATIONS,TELECOMMUNICATIONS,TELECOMMUNICATIONS|TELECOMMUNICATIONS
8415,BANKING,BANKING,BANKING|BANKING
8416,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
8417,RETAIL,COMMUNICATIONS EQUIPMENT,RETAIL|COMMUNICATIONS EQUIPMENT
8418,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8419,BANKING,DIVERSIFIED FINANCIAL SERVICES,BANKING|DIVERSIFIED FINANCIAL SERVICES
8420,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8421,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
8422,INFORMATION TECHNOLOGY AND SERVICES,COMMUNICATIONS EQUIPMENT,INFORMATION TECHNOLOGY AND SERVICES|COMMUNICATIONS EQUIPMENT
8423,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
8424,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
8425,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8426,CHEMICALS,CHEMICALS,CHEMICALS|CHEMICALS
8427,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8428,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
8429,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
8430,BUSINESS SUPPLIES AND EQUIPMENT,GOVERNMENT ADMINISTRATION,BUSINESS SUPPLIES AND EQUIPMENT|GOVERNMENT ADMINISTRATION
8431,RETAIL,RETAIL,RETAIL|RETAIL
8432,BUILDING MATERIALS,BUILDING MATERIALS,BUILDING MATERIALS|BUILDING MATERIALS
8433,ENVIRONMENTAL SERVICES,CONSTRUCTION AND ENGINEERING,ENVIRONMENTAL SERVICES|CONSTRUCTION AND ENGINEERING
8434,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8435,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
8436,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8437,CONSUMER GOODS,CONSUMER GOODS,CONSUMER GOODS|CONSUMER GOODS
8438,INTERNET,INTERNET SOFTWARE AND SERVICES,INTERNET|INTERNET SOFTWARE AND SERVICES
8439,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8440,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8441,CAPITAL MARKETS,CAPITAL MARKETS,CAPITAL MARKETS|CAPITAL MARKETS
8442,ENTERTAINMENT,ENTERTAINMENT,ENTERTAINMENT|ENTERTAINMENT
8443,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8444,TELECOMMUNICATIONS,TELECOMMUNICATIONS,TELECOMMUNICATIONS|TELECOMMUNICATIONS
8445,INFORMATION TECHNOLOGY AND SERVICES,HOSPITAL AND HEALTH CARE,INFORMATION TECHNOLOGY AND SERVICES|HOSPITAL AND HEALTH CARE
8446,BANKING,BANKS,BANKING|BANKS
8447,MARKETING AND ADVERTISING,MEDIA,MARKETING AND ADVERTISING|MEDIA
8448,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8449,BROADCAST MEDIA,INTERNET SOFTWARE AND SERVICES,BROADCAST MEDIA|INTERNET SOFTWARE AND SERVICES
8450,UTILITIES,UTILITIES,UTILITIES|UTILITIES
8451,BANKING,DIVERSIFIED FINANCIAL SERVICES,BANKING|DIVERSIFIED FINANCIAL SERVICES
8452,RENEWABLES AND ENVIRONMENT,GAS UTILITIES,RENEWABLES AND ENVIRONMENT|GAS UTILITIES
8453,TELECOMMUNICATIONS,HOUSEHOLD DURABLES,TELECOMMUNICATIONS|HOUSEHOLD DURABLES
8454,MARKETING AND ADVERTISING,MEDIA,MARKETING AND ADVERTISING|MEDIA
8455,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8456,VENTURE CAPITAL AND PRIVATE EQUITY,VENTURE CAPITAL AND PRIVATE EQUITY,VENTURE CAPITAL AND PRIVATE EQUITY|VENTURE CAPITAL AND PRIVATE EQUITY
8457,"HEALTH, WELLNESS AND FITNESS","HEALTH, WELLNESS AND FITNESS","HEALTH, WELLNESS AND FITNESS|HEALTH, WELLNESS AND FITNESS"
8458,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8459,MARKET RESEARCH,MARKET RESEARCH,MARKET RESEARCH|MARKET RESEARCH
8460,REAL ESTATE,REAL ESTATE,REAL ESTATE|REAL ESTATE
8461,CONSTRUCTION,TRANSPORTATION,CONSTRUCTION|TRANSPORTATION
8462,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING|MARKETING AND ADVERTISING
8463,STAFFING AND RECRUITING,INTERNET SOFTWARE AND SERVICES,STAFFING AND RECRUITING|INTERNET SOFTWARE AND SERVICES
8464,COMPUTER SOFTWARE,CONSTRUCTION AND ENGINEERING,COMPUTER SOFTWARE|CONSTRUCTION AND ENGINEERING
8465,COMPUTER SOFTWARE,MEDIA,COMPUTER SOFTWARE|MEDIA
8466,MARKETING AND ADVERTISING,COMMERCIAL SERVICES AND SUPPLIES,MARKETING AND ADVERTISING|COMMERCIAL SERVICES AND SUPPLIES
8467,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8468,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
8469,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8470,RETAIL,AUTOMOTIVE,RETAIL|AUTOMOTIVE
8471,RETAIL,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","RETAIL|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
8472,RESTAURANTS,RESTAURANTS,RESTAURANTS|RESTAURANTS
8473,APPAREL AND FASHION,"TEXTILES, APPAREL AND LUXURY GOODS","APPAREL AND FASHION|TEXTILES, APPAREL AND LUXURY GOODS"
8474,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8475,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION|CONSTRUCTION
8476,WAREHOUSING,GOVERNMENT ADMINISTRATION,WAREHOUSING|GOVERNMENT ADMINISTRATION
8477,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8478,AVIATION AND AEROSPACE,AIRLINES/AVIATION,AVIATION AND AEROSPACE|AIRLINES/AVIATION
8479,INDUSTRIAL AUTOMATION,GAMBLING AND CASINOS,INDUSTRIAL AUTOMATION|GAMBLING AND CASINOS
8480,SUPERMARKETS,FOOD PRODUCTS,SUPERMARKETS|FOOD PRODUCTS
8481,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
8482,TELECOMMUNICATIONS,ELECTRICAL EQUIPMENT,TELECOMMUNICATIONS|ELECTRICAL EQUIPMENT
8483,INFORMATION TECHNOLOGY AND SERVICES,MEDIA,INFORMATION TECHNOLOGY AND SERVICES|MEDIA
8484,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8485,INDUSTRIAL AUTOMATION,SEMICONDUCTORS,INDUSTRIAL AUTOMATION|SEMICONDUCTORS
8486,HOSPITAL AND HEALTH CARE,NON-PROFIT ORGANIZATION MANAGEMENT,HOSPITAL AND HEALTH CARE|NON-PROFIT ORGANIZATION MANAGEMENT
8487,STAFFING AND RECRUITING,PROFESSIONAL SERVICES,STAFFING AND RECRUITING|PROFESSIONAL SERVICES
8488,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8489,BANKING,BANKS,BANKING|BANKS
8490,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8491,MEDICAL PRACTICE,PHARMACEUTICALS,MEDICAL PRACTICE|PHARMACEUTICALS
8492,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION/TRUCKING/RAILROAD
8493,INTERNET,INTERNET SOFTWARE AND SERVICES,INTERNET|INTERNET SOFTWARE AND SERVICES
8494,GOVERNMENT ADMINISTRATION,COMMERCIAL SERVICES AND SUPPLIES,GOVERNMENT ADMINISTRATION|COMMERCIAL SERVICES AND SUPPLIES
8495,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8496,GOVERNMENT RELATIONS,GOVERNMENT ADMINISTRATION,GOVERNMENT RELATIONS|GOVERNMENT ADMINISTRATION
8497,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8498,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8499,ENVIRONMENTAL SERVICES,CHEMICALS,ENVIRONMENTAL SERVICES|CHEMICALS
8500,COMPUTER HARDWARE,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","COMPUTER HARDWARE|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
8501,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8502,CONSUMER ELECTRONICS,HOUSEHOLD DURABLES,CONSUMER ELECTRONICS|HOUSEHOLD DURABLES
8503,EVENTS SERVICES,INTERNET SOFTWARE AND SERVICES,EVENTS SERVICES|INTERNET SOFTWARE AND SERVICES
8504,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8505,BANKING,BANKING,BANKING|BANKING
8506,PAPER AND FOREST PRODUCTS,PAPER AND FOREST PRODUCTS,PAPER AND FOREST PRODUCTS|PAPER AND FOREST PRODUCTS
8507,INSURANCE,MANAGEMENT CONSULTING,INSURANCE|MANAGEMENT CONSULTING
8508,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8509,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN|LOGISTICS AND SUPPLY CHAIN
8510,PUBLISHING,PUBLISHING,PUBLISHING|PUBLISHING
8511,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8512,WHOLESALE,WHOLESALE,WHOLESALE|WHOLESALE
8513,BANKING,BANKING,BANKING|BANKING
8514,LEGAL SERVICES,HOSPITAL AND HEALTH CARE,LEGAL SERVICES|HOSPITAL AND HEALTH CARE
8515,HUMAN RESOURCES,HUMAN RESOURCES,HUMAN RESOURCES|HUMAN RESOURCES
8516,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION
8517,MACHINERY,MACHINERY,MACHINERY|MACHINERY
8518,MECHANICAL OR INDUSTRIAL ENGINEERING,SPECIALTY RETAIL,MECHANICAL OR INDUSTRIAL ENGINEERING|SPECIALTY RETAIL
8519,RETAIL,RETAIL,RETAIL|RETAIL
8520,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8521,GAMBLING AND CASINOS,GAMBLING AND CASINOS,GAMBLING AND CASINOS|GAMBLING AND CASINOS
8522,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8523,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
8524,MACHINERY,MACHINERY,MACHINERY|MACHINERY
8525,MEDICAL PRACTICE,HEALTH CARE PROVIDERS AND SERVICES,MEDICAL PRACTICE|HEALTH CARE PROVIDERS AND SERVICES
8526,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8527,CONSTRUCTION,BROADCAST MEDIA,CONSTRUCTION|BROADCAST MEDIA
8528,INTERNET,INTERNET SOFTWARE AND SERVICES,INTERNET|INTERNET SOFTWARE AND SERVICES
