,ind1,ind2,combined
69,HIGHER EDUCATION,HEALTH CARE PROVIDERS AND SERVICES,HIGHER EDUCATION|HEALTH CARE PROVIDERS AND SERVICES
70,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
71,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
72,LAW PRACTICE,SPECIALIZED CONSUMER SERVICES,LAW PRACTICE|SPECIALIZED CONSUMER SERVICES
73,HOSPITAL AND HEALTH CARE,COMMERCIAL SERVICES AND SUPPLIES,HOSPITAL AND HEALTH CARE|COMMERCIAL SERVICES AND SUPPLIES
74,CONSTRUCTION,INDUSTRIAL CONGLOMERATES,CONSTRUCTION|INDUSTRIAL CONGLOMERATES
75,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
76,ELECTRICAL/ELECTRONIC MANUFACTURING,ELECTRICAL EQUIPMENT,ELECTRICAL/ELECTRONIC MANUFACTURING|ELECTRICAL EQUIPMENT
77,INSURANCE,DIVERSIFIED FINANCIAL SERVICES,INSURANCE|DIVERSIFIED FINANCIAL SERVICES
78,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
79,UTILITIES,ELECTRICAL EQUIPMENT,UTILITIES|ELECTRICAL EQUIPMENT
80,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
81,BUILDING MATERIALS,DIVERSIFIED CONSUMER SERVICES,BUILDING MATERIALS|DIVERSIFIED CONSUMER SERVICES
82,COMPUTER NETWORKING,FOOD PRODUCTS,COMPUTER NETWORKING|FOOD PRODUCTS
83,NEWSPAPERS,DIVERSIFIED CONSUMER SERVICES,NEWSPAPERS|DIVERSIFIED CONSUMER SERVICES
84,ELECTRICAL/ELECTRONIC MANUFACTURING,RENEWABLE ELECTRICITY,ELECTRICAL/ELECTRONIC MANUFACTURING|RENEWABLE ELECTRICITY
85,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
86,PHOTOGRAPHY,MEDIA,PHOTOGRAPHY|MEDIA
