,total_score,industry
648,3.47,Financial Services
649,7.41,"Television Stations,Broadcasting,Media & Internet,Cable & Satellite,Telecommunications,Movie Theaters,Recreation,Hospitality"
650,5.45,Computer Software
652,2.45,Outsourcing/Offshoring
654,2.44,Computer software
655,4.48,"Software Development & Design,Software,Engineering Software,Financial, Legal & HR Software"
656,4.46,"Software Development & Design,Software,Custom Software & Technical Consulting,Enterprise Resource Planning Software(ERP)"
657,4.48,"Network Security Hardware & Software,Computer Equipment & Peripherals,Manufacturing,Engineering Software,Software Development & Design,Software"
658,8.48,"Software Development & Design,Software,Engineering Software"
659,4.47,Retail
660,4.47,Computer & Network Security
661,4.46,"Real Estate,Engineering Software,Software Development & Design,Software"
663,2.45,"Software Development & Design,Software"
664,4.47,Information Technology and Services
665,4.48,Internet
666,3.46,Computer Networking
670,2.45,Computer Software
671,2.47,"Television Stations,Broadcasting,Publishing,Media & Internet,Newspapers & News Services,Film/Video Production & Services"
672,4.45,"Software Development & Design,Software"
673,3.46,"Software Development & Design,Software,Engineering Software,Customer Relationship Management Software(CRM)"
674,3.47,Public Relations and Communications
676,3.47,Computer Software
677,4.45,"Search Engines & Internet Portals,Media & Internet"
678,7.46,Banking
679,4.47,Financial Services
680,4.48,"Information & Document Management,Business Services"
683,3.47,Insurance
685,4.47,Computer Software
686,4.46,Market Research
687,3.47,Computer software
688,4.46,"Finance,Banking,Brokerage,Investment Banking,Apparel & Accessories,Department Stores & Superstores,Retail,Management Consulting,Business Services"
689,3.51,"Libraries,"
690,3.47,Telecommunications
691,3.47,Information Technology and Services
692,3.45,Banking
694,10.47,"Film/Video Production & Services,Broadcasting,Media & Internet"
696,3.49,Computer Games
699,4.46,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
700,2.44,Consumer Services
701,3.44,Consumer Goods
702,4.5,Internet
703,2.45,"Software Development & Design,Software,Engineering Software,Financial, Legal & HR Software,Enterprise Resource Planning Software(ERP),Customer Relationship Management Software(CRM),Business Intelligence Software(BI)"
704,2.39,"Electronic Components,Electronics,Industrial Machinery & Equipment,Manufacturing"
705,4.45,International Trade and Development
706,2.45,Information Technology and Services
707,7.46,"Software Development & Design,Software"
709,10.47,Information Technology and Services
710,9.46,"Software Development & Design,Software,Electronic Components,Electronics,Manufacturing,Consumer Electronics,Power Conversion & Protection Equipment,Consumer Goods,Batteries, Power Storage Equipment & Generators,Management Consulting,Waste Treatment, Environmental Services & Recycling,Hospitals & Clinics,Business Services,Energy, Utilities & Waste Treatment,Healthcare"
713,2.45,"Aerospace & Defense,Manufacturing,Electronics"
714,4.47,"Software Development & Design,Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing,Engineering Software"
715,4.47,Telecommunications
716,4.49,Computer Software
717,2.4,"Human Resources & Staffing,Business Services"
718,3.39,Information Technology and Services
719,4.46,"Leisure, Travel & Tourism"
720,2.45,"Software Development & Design,Software,Financial, Legal & HR Software"
721,3.45,Internet
722,4.45,Computer Software
