,total_score,industry
1002,3.44,Marketing and Advertising
1003,3.44,Internet
1004,2.43,Marketing and Advertising
1005,3.47,Telecommunications
1006,4.38,retail
1007,3.45,Music
1008,10.46,Information Technology and Services
1010,3.29,Information Services
1011,10.47,Information Technology and Services
1012,10.46,Marketing and Advertising
1013,10.47,Marketing and Advertising
1015,10.48,"Food & Beverages,Food, Beverages & Tobacco,Manufacturing,Music & Music Related Services,Media & Internet"
1016,4.45,Computer Software
1017,10.49,Computer Software
1018,2.45,"Health, Wellness and Fitness"
1019,10.5,Computer Software
1021,10.45,Telecommunications
1022,3.48,Internet
1023,3.47,Real Estate
1024,3.23,Internet
1025,10.46,Computer Software
1026,10.51,Computer Software
1027,3.44,Information Technology and Services
1029,3.45,Online Media
1030,10.5,Internet
1031,4.42,Telecommunications
1032,10.43,Business Support Services
1033,10.48,Mobile
1034,10.47,Financial Services
1036,10.48,Financial Services
1038,10.48,Information Technology and Services
1039,3.43,Information Technology and Services
1041,10.48,Oil & Energy
1042,10.47,Sporting Goods
1044,10.46,Telecommunications
1046,3.44,Internet
1048,3.47,Management Consulting
1050,10.47,Marketing and Advertising
1051,10.47,"Civic & Social Organization
"
1052,3.55,Venture Capital & Private Equity
1053,10.48,Internet
1054,3.46,"Oil & Energy
"
1055,3.36,"Marketing and Advertising
"
1056,10.48,Publishing
1057,3.46,"Information Technology and Services
"
1058,10.48,Oil & Energy
1060,10.46,Staffing and Recruiting
1061,10.47,Hospitality
1062,3.39,Computer Software
1063,10.48,Textiles
1065,3.42,Farming
1066,3.45,E-Learning
1067,10.46,"Sporting Goods
"
1068,10.47,Media Production
1069,10.47,"Marketing and Advertising
"
1071,10.39,Computer Games
1072,3.48,Computer Software
1073,10.43,Internet
1075,7.41,Consumer Electronics
1076,3.43,Internet
1077,10.46,Human Resources
1079,10.47,Medical Practice
1081,10.47,Financial Services
1083,4.43,Computer Software
1084,10.45,Nonprofit Organization Management
1086,3.41,Entertainment
1087,10.49,Human Resources
1088,10.52,Real Estate
1090,10.48,Human Resources
1091,10.47,"Leisure, Travel & Tourism"
1092,3.47,"Information Services
"
1093,3.51,Computer Software
1094,3.46,"Wine and Spirits
"
1095,3.42,Internet
1097,10.48,"Computer Software
"
1098,10.47,Internet
1099,3.39,Consumer Electronics
1101,2.44,Information Technology and Services
1103,3.44,Information Technology and Services
1105,3.44,Information Technology and Services
1106,4.39,Internet
1108,2.44,"Human Resources & Staffing,Business Services"
1109,3.45,Information Technology and Services
1110,10.47,"Financial Services
"
1111,10.43,"Information Technology and Services
"
1112,10.46,Printing
1113,10.43,Outsourcing/Offshoring
1114,3.45,"Renewables & Environment
"
1115,3.44,"Management Consulting
"
1116,10.47,"Marketing and Advertising
"
1117,3.47,Computer Software
1118,3.43,"Nonprofit Organization Management
"
1119,3.42,Information Technology and Services
1120,3.44,Electrical/Electronic Manufacturing
1121,3.46,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
1122,3.44,Computer Software
1123,3.41,Computer Software
1124,10.42,Computer Software
1125,3.45,Retail
1126,10.47,"Computer Software
"
1127,4.44,Computer Software
1129,2.46,Online Media
1130,3.42,"Marketing and Advertising
"
1131,4.39,E-Learning
1133,2.44,"Computer Software
"
1136,10.47,Internet
1137,10.46,Broadcast Media
1138,10.5,Computer Games
1139,10.48,"Food & Beverages
"
1140,2.47,Machinery
1141,10.5,Computer Software
1142,3.38,Market Research
1143,3.44,Airlines/Aviation
1144,10.44,Information Services
1145,3.43,"Medical Practice
"
1146,10.43,Religious Institutions
1147,10.48,"Software Development & Design,Software,Network Security Hardware & Software,Computer Equipment & Peripherals,Manufacturing,Consumer Electronics,Consumer Goods,Business Services,Engineering Software"
1148,10.47,Finance App you can carry in your pocket
1150,2.5,Computer Software
1151,3.39,"Apparel & Accessories,Retail"
1152,3.45,Information Technology and Services
1153,3.38,Marketing and Advertising
1155,3.41,"Leisure, Travel & Tourism"
1156,10.54,Computer Software
1157,10.47,Apparel & Fashion
1159,3.45,Computer Software
1161,4.38,"Software Development & Design,Software"
1162,10.43,Computer Software
1164,10.47,"Oil & Energy
"
1165,2.41,"Publishing,Media & Internet"
1167,10.47,Computer Software
1168,3.43,Marketing and Advertising
1169,10.47,Professional Training & Coaching
1170,10.46,Construction
1171,10.46,"Consumer Services
"
1172,10.43,Internet
1173,10.46,Information Technology and Services
1174,10.45,Legal Services
1175,10.46,online advertising
1176,10.46,Computer Software
1178,3.28,Internet
1179,10.48,Consumer Goods
1181,10.48,Government Administration
1182,10.47,Information Technology and Services
1184,10.49,Computer Games
1185,10.44,Higher Education
1190,3.43,Information Technology and Services
1191,10.46,Internet
1192,10.47,Information Technology and Services
1195,10.46,Internet
1196,10.47,Internet
1197,10.48,Computer Software
1199,10.47,E-Learning
1201,3.47,Information Technology and Services
1204,10.38,Financial Services
1206,10.47,Computer Software
1207,10.47,Computer Software
1208,10.47,Insurance
1209,10.35,Greater Boston Area
1210,10.48,Information Technology and Services
1214,10.24,"Providence, Rhode Island Area"
1216,3.45,Entertainment
1217,10.47,"Custom Software & Technical Consulting,Software,Information Collection & Delivery,Media & Internet"
1218,3.56,Computer Software
1219,10.46,Legal Services
1222,10.48,San Francisco Bay Area
1223,3.45,Internet
1224,10.47,Food & Beverages
1225,10.47,Financial Services
1226,3.48,Information Technology and Services
1227,10.47,Internet
1228,3.45,Nonprofit Organization Management
1229,3.44,Internet
1230,3.48,"Internet
"
1233,10.47,Biotechnology
1236,4.47,Computer Software
1237,10.47,Marketing and Advertising
1238,10.47,Computer Games
1239,10.48,Internet
1240,10.47,Internet
1241,10.22,Computer Software
1242,10.46,Marketing and Advertising
1243,10.47,Sporting Goods
1244,3.45,Computer Software
1245,3.35,Computer Software
1247,10.48,Computer Software
1248,10.47,Retail
1249,3.44,Internet
1250,10.45,Government Administration
1252,10.47,Internet
1255,10.47,Telecommunications
1256,10.47,Computer Software
1257,3.45,Computer Software
1258,3.35,Accounting
1259,10.48,Sports
1261,10.48,"Health, Wellness and Fitness"
1262,10.48,E-Learning
1263,10.47,Hospital & Health Care
1265,3.47,Computer Software
1266,3.4,Higher education
1267,10.46,Information Technology and Services
1268,3.47,hospitality and health care
1269,10.47,Information Technology and Services
1270,10.49,Gambling & Casinos
1271,10.45,Higher Education
1272,10.48,Building Materials
1273,3.46,Hospital & Health Care
1274,10.39,Staffing and Recruiting
1275,10.45,Computer Networking
1276,10.48,Information Technology and Services
1277,10.48,Research
1278,2.42,"Travel Agencies & Services,Consumer Services,Hospitality"
1280,10.48,Computer Software
1282,10.52,Computer Software
1284,10.47,"Consumer Services
"
1285,3.47,"Training,Education,Colleges & Universities"
1286,3.41,"Laundry & Dry Cleaning Services,Consumer Services"
1287,10.47,Telecommunications
1288,3.48,"Engineering Software,Software Development & Design,Software"
1289,10.46,Internet
1291,2.44,Computer Software
1292,10.49,Internet
1294,3.49,Information Technology and Services
1295,10.48,Sports
1296,3.21,Computer Software
1297,3.43,Accounting
1298,8.38,Computer software
1299,10.47,"Charitable Organizations & Foundations,Organizations"
1300,10.47,Education Management
1301,3.45,Retail
1302,10.47,"Information Collection & Delivery,Media & Internet,Custom Software & Technical Consulting,Software,Search Engines & Internet Portals"
1303,10.48,E-Learning
1304,3.47,Internet
1306,10.46,Heavy Machinery & Vehicles
1307,4.41,internet
1310,3.42,Maritime
1312,3.43,Computer Software
1313,3.48,"Software Development & Design,Software,Industrial Machinery & Equipment,Manufacturing,Test & Measurement Equipment,Computer Equipment & Peripherals,Electronics,Telecommunication Equipment"
1314,10.46,Computer Software
1315,10.46,Education Management
1316,3.39,"Software Development & Design,Software,Information & Document Management,Business Services,Wineries & Breweries,Food, Beverages & Tobacco,Manufacturing"
1317,10.47,Computer Software
1318,10.47,Veterinary
1319,3.43,Internet
1320,10.47,telecommunications
1321,10.47,Information Technology and Services
1322,10.47,Computer Software
1323,10.47,Internet
1324,10.44,Computer Software
1325,10.42,Financial Services
1327,3.46,Internet
1328,3.46,Computer Software
1329,10.47,computer games
1330,10.48,Automotive
1332,3.47,Marketing and Advertising
1333,3.43,Information Technology and Services
1335,3.44,Marketing and Advertising
1336,3.44,Computer software
1337,4.43,Business Supplies and Equipment
1338,10.47,"Health, Wellness and Fitness"
1340,3.47,Consumer Goods
1341,10.47,Retail
1342,3.44,Health Products
1344,10.47,Information Technology and Services
1346,10.48,"Health, Wellness and Fitness"
1348,10.46,Insurance
1350,10.48,Computer Software
1351,10.5,Internet
1352,3.43,Internet
1353,3.36,Computer Software
1354,3.4,Management Consulting
1355,3.4,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
1356,3.46,Information Technology and Services
1357,3.45,Computer Software
1358,10.47,Hospital & Health Care
1359,7.34,Internet
1363,3.44,Hospital & Health Care
1364,10.48,Financial Services
1365,3.46,Accounting
1366,3.42,Information Technology and Services
1367,10.44,Information Technology and Services
1368,3.4,Computer Software
1369,10.46,Computer Software
1370,10.47,"Health, Wellness and Fitness"
1371,3.45,Internet
1373,10.45,Information Technology and Services
1374,10.48,Computer Software
1375,10.48,Accounting
1376,10.47,Internet
1377,3.43,Computer Software
1378,3.39,Information Technology and Services
1381,10.44,Civic & Social Organization
1382,10.48,ITS
1383,10.47,Information Technology and Services
1384,10.38,Computer Software
1385,3.51,compuer science
1386,3.43,Publishing
1387,10.47,E-Learning
1388,3.43,"Health, Wellness and Fitness"
1389,4.45,Internet
1390,3.44,Internet
1391,4.45,"Accounting & Accounting Services,Business Services,Management Consulting"
1392,3.39,Computer Software
1393,10.45,music
1395,10.47,internet
1397,10.46,Edcuation management
1399,3.45,Gambling & Casinos
1401,3.46,Information Technology and Services
1402,3.42,information services
1403,3.45,Events Services
1404,3.45,Retail
1405,3.33,E-Learning
1406,10.48,Computer Software
1407,10.47,Wholesale
1408,3.43,Accounting
1409,10.47,Telemunication
1410,10.44,computer software
1411,2.42,Machinery
1412,3.47,internet
1413,10.47,Nonprofit Organization Management
1414,3.47,Computer Software
1415,3.45,E-learning
1416,10.47,Education management
1417,10.48,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
1419,3.44,Internet
1420,10.47,Marketing and Advertising
1421,10.47,financial services
1422,2.26,Internet
1423,3.45,internet
1424,10.46,computer software
1425,3.44,"Search Engines & Internet Portals,Media & Internet,Software Development & Design,Software"
1426,10.47,design
1428,3.43,Information Technology and Services
1429,10.48,Computer games
1430,3.46,Hospital & Health Care
1431,10.48,telecommunication
1432,10.48,"Colleges & Universities,Education"
1433,10.46,Computer Software
1434,3.35,Translation and Localization
1435,3.43,research
1437,10.46,computer software
1438,3.37,Information Technology and Services
1439,10.47,computer games
1440,3.44,Education management
1442,4.41,"Freight & Logistics Services,Transportation"
1445,3.43,ITS
1448,3.43,Political Organization
1449,10.47,research
1450,10.47,Computer software
1452,10.45,"Government,K-12 Schools,Education"
1453,10.48,Information Technology and Services
1454,10.47,computer software
1455,3.39,Financial Services
1456,3.46,furniture
1457,3.43,"Information Technology and Services
"
1458,3.42,"Information Technology and Services
"
1461,3.44,Marketing and Advertising
1462,10.48,"Computer Software
"
1463,10.47,Real Estate
1465,10.47,"Education Management
"
1466,10.46,"Computer Software
"
1467,10.45,Higher Education
1468,3.46,Consumer Electronics
1470,10.47,Computer Software
1472,3.47,"Market Research
"
1473,3.42,Online Media
1475,10.56,Computer Software
1476,3.43,"Government Administration
"
1477,10.48,Telemunication
1478,10.45,"Health, Wellness and Fitness
"
1479,3.48,International Trade and Development
1480,2.47,Computer Software
1481,2.45,Broadcast Media
1482,10.44,Financial Services
1484,4.45,Retail
1485,10.48,Computer Software
1486,3.46,"Restaurants,Hospitality,Retail,Food & Beverages,Food, Beverages & Tobacco,Manufacturing"
1487,3.47,Information Technology and Services
1489,10.47,International Trade and Development
1490,3.46,Computer Software
1491,10.44,International Trade and Development
1492,10.5,internet
1493,3.45,Computer Software
1494,3.46,Computer Software
1495,3.42,Public Relations and Communications
1497,4.46,Internet
1499,3.43,Computer Games
1500,3.48,Financial Services
1501,3.47,"Software Development & Design,Software,Engineering Software"
1502,3.47,Marketing and Advertising
1503,10.48,Computer Software
1504,3.47,"Custom Software & Technical Consulting,Software"
1506,10.47,Civic & Social Organization
1507,10.47,International Affairs
1508,10.46,Marketing and Advertsing
1509,10.45,Telecommunications
1511,3.39,Financial Services
1513,10.47,Information Technology and Services
1514,10.42,Internet
1515,3.44,Computer Software
1518,10.48,"Information Technology and Services
"
1521,10.48,Internet
1523,10.46,Information Technology and Services
1524,10.45,Internet
1525,10.44,Internet
1527,3.41,"Custom Software & Technical Consulting,Software"
1528,10.46,Computer Software
1530,3.45,Retail
1531,10.47,Internet
1532,3.45,"Computer Software
"
1533,3.45,Computer Software
1534,10.48,"Human Resources
"
1535,3.45,Computer Software
1536,3.45,nformation Technology and Services
1538,10.47,Music
1539,10.47,"Computer Software
"
1541,10.47,Information Technology and Services
1544,4.44,Financial Services
1545,2.47,"Software Development & Design,Software,Power Conversion & Protection Equipment,Electronics,Manufacturing,Batteries, Power Storage Equipment & Generators,Electronic Components,Boats & Submarines,Industrial Machinery & Equipment,Metals & Minerals,Mining,Metals & Mining"
1546,3.44,Information Technology and Services
1548,10.45,Information Technology and Services
1549,4.43,Information Technology and Services
1550,10.44,Computer Software
1552,10.48,Media Production
1553,4.43,Internet
1554,10.48,"Translation & Linguistic Services,Business Services"
1555,3.43,Information Technology and Services
1556,3.44,Internet
1557,4.41,Oil & Energy
1558,2.45,Computer Software
1559,3.44,Internet
1561,3.44,Internet
1563,3.42,Research
1564,3.47,Music
1566,3.47,Financial Services
1567,10.48,"Software Development & Design,Software"
1568,4.47,Computer Software
1569,4.47,Internet
1570,4.35,"Management Consulting,Business Services,Information Collection & Delivery,Media & Internet"
1571,3.49,Computer Software
1572,3.47,Computer Software
1573,3.47,Graphic Design
1574,10.45,"Software Development & Design,Software,Networking Software,Consumer Electronics & Computers,Retail,Engineering Software"
1575,3.42,Information Technology and Services
1576,10.51,"Software Development & Design,Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing,Engineering Software"
1577,3.49,Printing
1578,10.48,Comnsumer Services
1579,3.46,"Media & Internet,Information Collection & Delivery,Search Engines & Internet Portals,Motor Vehicle Dealers,Retail,Automotive Service & Collision Repair,Publishing,Consumer Services,Telecommunications"
1581,3.45,Information Technology and Services
1582,3.38,Information Technology and Services
1583,3.4,"Software Development & Design,Software,Custom Software & Technical Consulting,Healthcare Software,Financial, Legal & HR Software"
1584,3.41,Information Technology and Services
1585,10.5,"Human Resources & Staffing,Business Services,Accounting & Accounting Services"
1586,3.41,"Pharmaceuticals,Healthcare,Drug Manufacturing & Research,Biotechnology,Business Services"
1587,4.45,"Manufacturing,Computer Equipment & Peripherals,Telecommunication Equipment,Personal Computers & Peripherals,Computer Networking Equipment,Consumer Electronics,Consumer Goods,Telephony & Wireless,Telecommunications,Custom Software & Technical Consulting,Software"
1588,4.43,Venture Capital & Private Equity
1589,2.42,Wholesale
1591,2.45,Education Management
1592,10.46,Computer Software
1593,2.42,Internet
1594,3.46,Photography
1595,2.37,Machinery
1596,3.44,"Software Development & Design,Software,Accounting & Accounting Services,Business Services,Financial, Legal & HR Software"
1597,2.43,Computer Software
1598,4.4,Education Management
1599,3.47,Computer Software
1600,3.44,Information Technology and Services
1601,3.46,Transportation/Trucking/Railroad
1602,4.37,Computer software
1603,10.48,Information Technology and Services
1605,10.47,Transportation/Trucking/Railroad
1606,10.53,internet
1607,3.46,Nonprofit Organization Management
1608,3.48,"Health, Wellness and Fitness"
1610,2.43,Insurance
1612,4.36,Financial Services
1614,3.47,"Medical Testing & Clinical Laboratories,Healthcare,Drug Manufacturing & Research,Hospitals & Clinics,Pharmaceuticals,Biotechnology"
1616,3.47,Hospital & Health Care
1617,3.45,Marketing and Advertising
1618,3.43,Computer Software
1619,2.43,Information Technology and Services
1620,10.46,Computer Software
1621,3.46,"Software Development & Design,Software,Engineering Software"
1622,3.39,IT/automotive
1624,10.55,Information Technology and Services
1625,10.47,"Software Development & Design,Software,Engineering Software"
1626,3.48,Computer Software
1627,3.44,Information Technology and Services
1628,2.43,Computer Software
1629,3.44,Higher Education
1630,3.47,Computer Software
1631,3.44,"Software Development & Design,Software,Test & Measurement Equipment,Manufacturing,Photographic & Optical Equipment,Consumer Goods,Industrial Machinery & Equipment,Electronic Components,Power Conversion & Protection Equipment,Electronics,Medical Devices & Equipment"
1632,8.38,"Telephony & Wireless,Telecommunications,Cable & Satellite,Music & Music Related Services,Media & Internet"
1633,3.42,Computer software
1634,3.44,"Information & Document Management,Business Services"
1635,10.48,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
1636,2.44,Research
1637,2.42,Computer Software
1638,2.45,"Travel Agencies & Services,Consumer Services,Publishing,Hospitality,Media & Internet,Transportation"
1639,3.41,"Security Products & Services,Business Services"
1640,3.39,Airlines/Aviation
1642,10.46,Retail
1643,3.47,Computer Software
1644,3.46,Hospital & Health Care
1645,10.47,Internet
1646,3.44,Computer Hardware
1647,3.47,Marketing and Advertising
1648,3.43,Telecommunications
1649,2.44,Telecommunications
1651,3.44,Marketing and Advertising
1652,10.46,Retail
1653,3.46,Gambling & Casinos
1655,10.48,Information Technology and Services
1656,10.42,"Leisure, Travel & Tourism"
1657,3.45,"Computer Software
"
1660,10.46,Higher Education
1663,3.44,Computer Software
1664,10.47,International Affairs
1666,3.47,Financial Services
1667,3.48,Internet
1668,3.43,Music
1669,3.45,Professional Training & Coaching
1670,10.49,Computer & Network Security
1671,3.42,Financial Services
1672,3.41,Information Technology and Services
1673,10.47,Financial Services
1674,10.47,Sports
1675,10.48,Internet
1677,10.46,Computer Software
1678,3.46,Computer Software
1679,10.47,Marketing and Advertising
1680,3.46,Financial Services
1682,10.47,Computer Software
1683,10.47,Information Technology and Services
1684,10.47,Computer Software
1686,10.47,Automotive
1687,3.46,Insurance
1688,3.43,Higher Education
1689,3.44,Renewables & Environment
1690,10.47,Internet
1691,3.42,Computer Software
1693,3.43,Hospital & Health Care
1694,10.44,Education Management
1695,3.43,Computer Software
1696,3.43,Consumer Electronics
1698,10.47,Computer Software
1699,10.47,Internet
1700,10.47,Telecommunications
1701,10.5,Online Media
1703,3.56,Internet
1704,3.45,Information Technology and Services
1705,3.48,"Banking,Finance,Investment Banking"
1706,10.48,Internet
1707,3.45,Internet
1708,3.45,Internet
1710,3.46,Design
1711,4.41,"Software Development & Design,Software,Business Services,Custom Software & Technical Consulting,Customer Relationship Management Software(CRM)"
1712,3.46,Marketing and Advertising
1713,3.45,"Security Products & Services,Business Services"
1714,3.44,Automotive
1716,3.47,Internet
1717,10.48,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
1718,10.47,"Insurance,Hospitals & Clinics,Healthcare,Management Consulting,Business Services,Consumer Electronics,Consumer Goods,Manufacturing"
1719,2.45,Computer Networking
1720,2.45,Telecommunications
1722,4.4,E-Learning
1723,3.47,Pharmaceuticals
1724,3.47,"Software Development & Design,Software,Advertising & Marketing,Business Services"
1726,3.47,"Custom Software & Technical Consulting,Software"
1727,3.4,Information Technology and Services
1728,10.5,Staffing and Recruiting
1729,2.45,"Accounting & Accounting Services,Business Services"
1730,3.45,Education Management
1731,3.46,Universities
1733,7.41,Computer Software
1734,5.4,"Banking,Finance,Investment Banking"
1735,10.45,"Electricity, Oil & Gas,Energy, Utilities & Waste Treatment"
1736,10.43,Financial Services
1737,3.42,Universities
1738,4.43,Computer Software
1739,10.46,Marketing and Advertising
1740,4.41,Information Technology and Services
1741,3.46,Information Technology and Services
1742,3.44,"Search Engines & Internet Portals,Media & Internet"
1743,3.46,Computer Software
1744,3.43,"Manufacturing,Telecommunication Equipment,Consumer Electronics,Consumer Goods,Telephony & Wireless,Telecommunications,Cable & Satellite,Computer Equipment & Peripherals"
1745,3.46,Marketing and Advertising
1746,4.42,"Software Development & Design,Software"
1747,3.42,Computer Networking
1748,4.36,Computer Software
1750,3.4,Oil & Energy
1751,10.45,"Software Development & Design,Software,Industrial Machinery & Equipment,Manufacturing"
1752,3.4,Computer Software
1753,3.4,Computer Software
1755,7.4,Information Technology and Services
1756,10.44,"Network Security Hardware & Software,Computer Equipment & Peripherals,Manufacturing,Software Development & Design,Software,Networking Software,Custom Software & Technical Consulting,Security software,Publishing,Media & Internet,Engineering Software"
1758,2.45,Internet
1759,3.45,Computer Software
1760,3.45,Financial Services
1761,4.47,Computer Software
1762,3.41,Information Technology and Services
1763,2.46,Computer Software
1764,3.45,Design
1765,2.39,Telecommunications
1766,3.45,Telecommunications
1767,10.47,Computer Software
1768,10.49,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
1769,10.45,Financial Services
1771,10.48,Computer Software
1772,3.45,Computer Software
1773,2.39,Information Technology and Services
1775,4.49,Outsourcing/Offshoring
1777,3.47,Computer Software
1778,4.36,"Software Development & Design,Software,Engineering Software"
1781,4.32,Insurance
1782,4.42,Computer Networking
1784,2.47,Wireless
1785,3.45,"Advertising & Marketing,Business Services"
1786,4.47,Online Media
1787,3.48,Computer software
1789,4.42,Computer Software
1790,10.47,"Custom Software & Technical Consulting,Software"
1791,2.45,"Health, Wellness and Fitness"
1792,4.51,Internet
1793,8.47,"Software Development & Design,Software,Search Engines & Internet Portals,Media & Internet"
1795,4.46,Computer Software
1796,3.47,Computer Software
1798,10.48,Information Technology and Services
1799,7.26,Computer Software
1800,3.47,Renewables & Environment
1802,3.45, 
1803,10.47,Writing and Editing
1804,3.47,Marketing and Advertising
1805,3.43,Information Technology and Services
1808,3.44,Education Management
1810,3.47,Information Technology and Services
1811,3.41,"Charitable Organizations & Foundations,Organizations"
1812,3.43,"Lifestyle, Apps"
1814,10.48,Computer Software
1815,10.49,Computer Networking
1817,10.47,Internet
1818,10.47,Computer Software
1819,10.47,Logistics and Supply Chain
1821,3.47,Information Technology and Services
1822,3.43,Marketing and Advertising
1823,10.47,Information Services
1824,3.42,Internet
1825,4.45,Plastics
1826,3.46,Automotive
1827,10.47,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
1828,2.44,"Electronics,Manufacturing,Custom Software & Technical Consulting,Software Development & Design,Law Firms & Legal Services,Software"
1829,4.46,Security and Investigations
1830,3.46,Government Administration
1831,4.47,Computer Software
1832,10.46,Marketing and Advertising
1833,10.49,Computer Software
1834,4.5,Insurance
1836,4.46,Computer software
1837,10.47,Translation and Localization
1838,3.44,Information Technology and Services
1839,10.45,Computer Software
1840,10.47,Internet
1841,3.47,Real Estate
1843,3.46,Media Production
1844,10.47,Internet
1845,3.45,Internet
1846,3.44,Internet
1847,3.46,Consumer Electronics
1848,3.43,Logistics and Supply Chain
1849,3.43,Marketing and Advertising
1851,3.44,Management Consulting
1852,3.47,Marketing and Advertising
1853,3.45,Information Technology and Services
1854,10.47,Internet Software
1855,3.47,Internet
1856,10.46,Marketing and Advertising
1858,4.4,"Software Development & Design,Software,Custom Software & Technical Consulting,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing,Customer Relationship Management Software(CRM),Enterprise Resource Planning Software(ERP),Business Intelligence Software(BI),Database & File Management Software,Supply chain management Software(SCM)"
1859,3.45,Gambling & Casinos
1860,3.5,Financial Services
1861,10.48,Information Technology and Services
1862,3.44,Internet
1864,10.46,Writing and Editing
1865,3.47,Consumer Goods
1866,3.52,Retail
1867,3.44,Internet
1868,3.46,Hospital & Health Care
1870,3.43,Accounting
1871,3.42,Management Consulting
1873,2.45,Information Technology and Services
1874,2.42,Electrical/Electronic Manufacturing
1875,10.43,Computer Software
1876,3.31,Media Production
1877,4.45," E-commerce, B2C, Government"
1878,3.45,ProsperWorks Inc.        Symphony Commerce Inc
1879,3.45,Information Services
1880,4.47,Computer Software
1881,3.47,Internet
1882,3.48,Newspapers
1883,3.45,"Software Development & Design,Software,Finance"
1884,3.44,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
1886,4.42,Online Media
1887,2.42,Marketing and Advertising
1888,10.48,information technologies and services
1889,3.47,"Insurance,Finance"
1890,3.44,Education Management
1891,10.41,Financial Services
1892,4.46,Financial Services
1893,3.41,Banking
1894,3.47,Computer Software
1895,2.47,"Software Development & Design,Software,Training,Education,Custom Software & Technical Consulting"
1896,10.39,Computer Software
1897,3.42,Internet
1898,3.48,Computer Software
1899,4.44,Computer Software
1900,10.48,Computer Software
1902,3.43,Internet
1903,3.45,Computer Software
1904,10.47,"Marketing and Advertising
"
1905,10.46,Printing
1907,10.39,Information Technology and Services
1909,3.42,E-Learning
1910,3.46,Hospital & Health Care
1911,10.4,"Libraries,Cultural"
1912,3.45,Computer Software
1913,10.46,Internet
1915,4.44,Computer Software
1918,3.47,Internet
1919,10.46,Marketing and Advertising
1922,3.48,Oil & Energy
1923,3.46,Financial Services
1924,2.47,Capital Markets
1925,10.47,Internet
1926,10.49,Computer Software
1929,3.43,Internet
1930,10.48,Internet
1931,10.46,Hospital & Health Care
1932,10.47,Events Services
1933,10.44,Universities
1934,10.47,"Jewelry & Watches,Retail"
1935,10.48,hospital and health care
1936,10.48,Computer Games
1937,3.45,Real Estate
1938,10.47,Information Technology and Services
1940,10.45,Publishing
1941,3.43,Information Technology and Services
1942,3.47,Retail
1944,3.47,Information Services
1945,10.46,Sports
1946,3.47,Computer Software
1947,10.48,E-Learning
1950,10.46,Environmental Services
1951,10.48,Computer Software
1952,3.47,Internet
1954,10.5,Retail
1956,3.42,Information Technology and Services
1957,3.46,Security and Investigations
1958,3.35,Information Technology and Services
1959,3.46,Information Technology and Services
1962,3.38,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
1963,3.42,Financial Services
1964,2.41,Marketing and Advertising
1965,10.45,Computer Games
1966,3.48,Computer Games
1967,10.46,Computer Software
1968,10.48,Marketing and Advertising
1969,4.47,Computer Software
1970,4.45,"Health, Wellness and Fitness"
1971,3.45,Information Technology and Services
1972,3.47,Computer Software
1973,3.47,Computer Software
1974,4.46,Computer software
1975,3.45,Computer Software
1976,3.43,Computer software
1977,2.45,Outsourcing/Offshoring
1978,3.48,Information Technology and Services
1979,2.46,"Newspapers & News Services,Media & Internet"
1980,3.47,Wireless
1981,3.46,Information Technology and Services
1983,3.45,Marketing and Advertising
1984,2.45,Insurance
1985,3.49,"Airlines, Airports & Air Services,Transportation"
1986,3.47,Information Technology and Services
1987,2.45,Farming
1989,3.45,Internet
1990,4.47,Telecommunications
1991,10.47,Computer Software
1992,10.47,"Custom Software & Technical Consulting,Software"
1994,7.45,Computer Software
1995,10.48,Real Estate
1996,10.47,Information Technology and Services
1997,10.48,Internet
1998,3.42,Sports
1999,3.43,Financial Services
2000,10.48,Internet
2001,3.31,Publishing
2002,3.46,Universities
2003,10.48,Internet
2006,3.44,Internet
2007,10.49,Financial Services
2008,10.43,Higher Education
2009,3.47,Internet
2010,10.47,Internet
2011,10.38,Computer Software
2012,3.45,Research
2013,10.47,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2014,3.46,Hospital & Health Care
2015,3.44,Computer Software
2016,3.43,Computer Software
2017,10.48,Computer Software
2020,3.44,Internet
2021,10.48,Internet
2023,10.48,Entertainment
2024,10.48,Marketing and Advertising
2025,3.42,Internet
2027,10.48,Computer Software
2028,3.43,Entertainment
2029,3.47,Entertainment
2030,10.47,Real Estate
2031,3.43,Information Technology and Services
2032,3.46,Computer Software
2033,10.47,Biotechnology
