,industry,total_score
3022,retail,4.4
3023,construction,10.49
3024,public policy,10.47
3025,consumer electronics,2.45
3026,computer and network security,3.45
3027,chemicals,10.49
3028,chemicals,10.49
3029,petrochemicals,10.49
3030,glass and gases,10.49
3031,manufacturing,10.49
3032,information technology and services,2.45
3033,medical devices,3.4
3034,credit cards and transaction processing,3.46
3035,finance,3.46
3036,computer equipment and peripherals,3.46
3037,software development and design,3.46
3038,office products,3.46
3039,telecommunication equipment,3.46
3040,manufacturing,3.46
3041,retail,3.46
3042,software,3.46
3043,software development and design,10.48
3044,software,10.48
3045,search engines and internet portals,10.48
3046,media and internet,10.48
3047,information technology and services,3.45
3048,information and document management,3.46
3049,business services,3.46
3050,custom software and technical consulting,3.46
3051,software,3.46
3052,internet,3.47
3053,retail,10.47
3054,human resources,2.48
3055,hospital and health care,3.44
3056,information technology and services,4.43
3057,online media,3.44
3058,information services,10.43
3059,logistics and supply chain,2.45
3060,search engines and internet portals,3.43
3061,media and internet,3.43
3062,apparel and accessories,3.43
3063,retail,3.43
3064,software development and design,3.43
3065,software,3.43
3066,computer games,3.45
3067,government administration,3.43
3068,search engines and internet portals,10.46
3069,media and internet,10.46
3070,environmental services,3.47
3071,internet,3.43
3072,computer software,3.49
3073,online media,3.44
3074,computer games,10.48
3075,human resources and staffing,3.5
3076,business services,3.5
3077,security and investigations,3.44
3078,engineering software,3.48
3079,software development and design,3.48
3080,software,3.48
3081,information collection and delivery,4.44
3082,media and internet,4.44
3083,training,3.44
3084,education,3.44
3085,information technology and services,3.48
3086,internet,3.45
3087,computer games,3.39
3088,gambling and casinos,3.45
3089,computer software,10.48
3090,computer software,10.47
3091,computer software,3.45
3092,gambling and casinos,3.47
3093,computer games,3.45
3094,information technology and services,3.45
3095,media production,3.46
3096,internet,10.44
3097,insurance,4.47
3098,banking,3.43
3099,medical devices and equipment,2.46
3100,manufacturing,2.46
3101,healthcare,2.46
3102,internet,3.47
3103,marketing and advertising,3.46
3104,charitable organizations and foundations,3.38
3105,organizations,3.38
3106,information technology and services,9.26
3107,television stations,3.42
3108,broadcasting,3.42
3109,media and internet,3.42
3110,information technology and services,2.46
3111,computer software,10.45
3112,software development and design,10.51
3113,software,10.51
3114,search engines and internet portals,10.51
3115,media and internet,10.51
3116,software development and design,3.45
3117,software,3.45
3118,electronics,3.45
3119,manufacturing,3.45
3120,batteries,3.45
3121,power storage equipment and generators,3.45
3122,power conversion and protection equipment,3.45
3123,medical devices and equipment,3.45
3124,test and measurement equipment,3.45
3125,marketing and advertising,10.45
3126,software development and design,3.47
3127,software,3.47
3128,financial,3.47
3129,legal and hr software,3.47
3130,investment banking,3.44
3131,internet,10.46
3132,grocery,10.46
3133,retail,10.46
3134,computer software,3.44
3135,information technology and services,3.47
3136,information technology and services,3.47
3137,software development and design,2.46
3138,software,2.46
3139,network security hardware and software,2.46
3140,computer equipment and peripherals,2.46
3141,manufacturing,2.46
3142,industrial machinery and equipment,2.46
3143,information technology and services,3.47
3144,marketing and advertising,4.41
3145,marketing and advertising,3.41
3146,information technology and services,3.47
3147,internet,2.47
3148,computer software,3.44
3149,automotive,3.47
3150,comnsumer services,3.45
3151,computer software,10.47
3152,computer software,10.47
3153,information technology and services,10.44
3154,internet,3.45
3155,internet,3.4
3156,financial services,3.48
3157,network security hardware and software,3.44
3158,computer equipment and peripherals,3.44
3159,manufacturing,3.44
3160,telecommunication equipment,3.44
3161,computer software,4.42
3162,computer software,4.43
3163,information technology and services,2.47
3164,computer software,3.46
3165,computer hardware,10.49
3166,software development and design,3.4
3167,software,3.4
3168,engineering software,3.4
3169,business intelligence software(bi),3.4
3170,enterprise resource planning software(erp),3.4
3171,internet,10.48
3172,human resources,3.46
3173,mobile applications,3.46
3174,computer software,2.46
3175,internet,3.45
3176,civil engineering,3.47
3177,arts and crafts,3.42
3178,hospital and health care,10.47
3179,information technology and services,3.45
3180,internet,2.46
3181,financial services,2.45
3182,its,3.46
3183,sports,4.47
3184,health,10.49
3185,wellness and fitness,10.49
3186,consumer goods,3.45
3187,internet,3.44
3188,information technology and services,3.46
3189,construction,3.39
3190,accounting and accounting services,3.39
3191,business services,3.39
3192,construction,3.47
3193,custom software and technical consulting,3.48
3194,software,3.48
3195,k-12 schools,3.48
3196,education,3.48
3197,computer software,4.66
3198,renewables and environment,3.47
3199,media production,3.46
3200,sports,10.48
3201,law practice,4.41
3202,computer software,3.43
3203,e-learning,4.46
3204,information technology and services,3.42
3205,philantropy,3.47
3206,computer software,10.48
3207,health,2.46
3208,wellness and fitness,2.46
3209,network security hardware and software,2.45
3210,computer equipment and peripherals,2.45
3211,manufacturing,2.45
3212,consumer electronics,2.45
3213,consumer goods,2.45
3214,telecommunication equipment,2.45
3215,custom software and technical consulting,2.45
3216,software,2.45
3217,financial services,10.42
3218,computer hardware,3.48
3219,internet,10.65
3220,computer software,10.5
3221,custom software and technical consulting,3.43
3222,software,3.43
3223,software development and design,3.43
3224,wireless,3.42
3225,internet,10.48
3226,telephony and wireless,3.45
3227,telecommunications,3.45
3228,program development,2.45
3229,computer software,3.41
3230,information technology and services,2.47
3231,information technology and services,3.44
3232,internet,10.47
3233,internet,3.41
3234,music,3.43
3235,fiancial services,10.51
3236,computer software,3.42
3237,information services,10.46
3238,computer software,3.39
3239,computer software,3.47
3240,information technology and services,3.4
3241,computer software,3.45
3242,investment management,10.46
3243,internet,3.47
3244,medical devices,3.46
3245,internet,10.52
3246,banking,3.44
3247,retail,3.45
3248,telecommunications,3.39
3249,internet,3.46
3250,management consulting,3.47
3251,internet,4.44
3252,marketing and advertising,3.47
3253,retail,3.43
3254,machinery,2.42
3255,semiconductors,2.41
3256,food and beverage,10.45
3257,internet,3.47
3258,computer software,3.42
3259,telecommunications,3.47
3260,health,3.47
3261,wellness and fitness,3.47
3262,financial services,3.47
3263,biotechnology,10.48
3264,internet,10.47
3265,social network,10.47
3266,health,3.42
3267,wellness and fitness,3.42
3268,financial services,4.44
3269,internet,3.44
3270,colleges and universities,3.4
3271,education,3.4
3272,accounting,3.44
3273,software development and design,3.46
3274,software,3.46
3275,engineering software,3.46
3276,custom software and technical consulting,3.46
3277,software development and design,10.49
3278,software,10.49
3279,search engines and internet portals,10.49
3280,media and internet,10.49
3281,program development,10.5
3282,banking,10.48
3283,finance,10.48
3284,information technology and services,3.47
3285,international trade and development,3.47
3286,software development and design,10.49
3287,software,10.49
3288,consumer electronics,10.49
3289,consumer goods,10.49
3290,telecommunication equipment,10.49
3291,manufacturing,10.49
3292,engineering software,10.49
3293,political organization,3.46
3294,software development and design,2.47
3295,software,2.47
3296,international trade and development,3.49
3297,computer software,3.47
3298,software development and design,3.45
3299,software,3.45
3300,computer games,10.49
3301,business services,3.43
3302,advertising and marketing,3.43
3303,management consulting,3.43
3304,internet,10.46
3305,software development and design,10.45
3306,software,10.45
3307,financial,10.45
3308,legal and hr software,10.45
3309,telecommunications,10.49
3310,compter software,3.47
3311,logistics and supply chain,10.53
3312,apparel and fashion,3.48
3313,computer software,3.44
3314,cleaning products,3.34
3315,consumer goods,3.34
3316,manufacturing,3.34
3317,household goods,3.34
3318,home improvement and hardware,3.34
3319,retail,3.34
3320,internet,3.38
3321,information technology and services,10.46
3322,entertainment,10.47
3323,charitable organizations and foundations,3.42
3324,organizations,3.42
3325,construction,3.42
3326,consumer services,3.42
3327,facilities management and commercial cleaning,3.42
3328,business services,3.42
3329,waste treatment,3.42
3330,environmental services and recycling,3.42
3331,energy,3.42
3332,utilities and waste treatment,3.42
3333,insurance,3.47
3334,computer software,4.43
3335,software development and design,3.42
3336,software,3.42
3337,publishing,3.42
3338,media and internet,3.42
3339,e-learning,10.48
3340,personal computers and peripherals,3.44
3341,computer equipment and peripherals,3.44
3342,manufacturing,3.44
3343,consumer electronics and computers,3.44
3344,retail,3.44
3345,batteries,3.44
3346,power storage equipment and generators,3.44
3347,electronic components,3.44
3348,electronics,3.44
3349,custom software and technical consulting,3.44
3350,software,3.44
3351,semiconductor and semiconductor equipment,3.44
3352,oil and energy,10.34
3353,freight and logistics services,2.47
3354,transportation,2.47
3355,internet,3.47
3356,information technology and services,3.44
3357,insurance,10.47
3358,software development and design,3.43
3359,software,3.43
3360,information technology and services,3.46
3361,government,10.47
3362,computer software,3.47
3363,colleges and universities,4.48
3364,education,4.48
3365,information technology and services,3.47
3366,information technology and services,3.39
3367,software development and design,3.47
3368,software,3.47
3369,engineering software,3.47
3370,business intelligence software(bi),3.47
3371,enterprise resource planning software(erp),3.47
3372,software development and design,10.48
3373,software,10.48
3374,engineering software,10.48
3375,business intelligence software(bi),10.48
3376,enterprise resource planning software(erp),10.48
3377,internet,3.47
3378,research,3.44
3379,computer games,10.55
3380,information technology and services,2.45
3381,financial services,10.47
3382,computer software,3.43
3383,computer software,3.45
3384,software development and design,3.45
3385,software,3.45
3386,engineering software,3.45
3387,custom software and technical consulting,3.45
3388,colleges and universities,3.44
3389,education,3.44
3390,publishing,3.44
3391,primary/secondary education,3.46
3392,engineering software,3.48
3393,software development and design,3.48
3394,software,3.48
3395,internet,10.47
3396,sports,3.42
3397,internet,3.46
3398,electrical/electronic manufacturing,3.41
3399,pharmaceuticals,3.46
3400,information technology and services,3.44
3401,information collection and delivery,3.43
3402,media and internet,3.43
3403,publishing,3.43
3404,commercial printing,3.43
3405,business services,3.43
3406,custom software and technical consulting,3.43
3407,law firms and legal services,3.43
3408,software,3.43
3409,finance,3.43
3410,telecommunications,3.43
3411,information technology and services,2.45
3412,consumer electronics,3.47
3413,environmental services,3.48
3414,software development and design,4.37
3415,software,4.37
3416,engineering software,4.37
3417,consumer electronics,4.37
3418,consumer goods,4.37
3419,telecommunication equipment,4.37
3420,manufacturing,4.37
3421,computer software,3.48
3422,computer software,10.45
3423,financial services,3.44
3424,information technology and sevices,10.46
3425,computer software,10.47
3426,human resources and staffing,3.47
3427,business services,3.47
3428,software development and design,3.47
3429,software,3.47
3430,accounting and accounting services,3.47
3431,engineering software,3.47
3432,banking,3.44
3433,information technology and services,4.42
3434,internet service providers,2.45
3435,website hosting and internet-related services,2.45
3436,telecommunications,2.45
3437,custom software and technical consulting,2.45
3438,software development and design,2.45
3439,business services,2.45
3440,software,2.45
3441,search engines and internet portals,2.45
3442,media and internet,2.45
3443,finance,3.41
3444,banking,3.41
3445,investment banking,3.41
3446,construction,3.41
3447,internet,3.48
3448,human resources and staffing,10.47
3449,business services,10.47
3450,accounting and accounting services,10.47
3451,information technology and services,3.47
3452,marketing and advertising,3.43
3453,information technology and services,3.42
3454,computer software,10.48
3455,entertainment,10.51
3456,banking,4.37
3457,government administration,3.44
3458,banking,4.41
3459,computer software,3.44
3460,telecommunications,3.45
3461,computer software,3.47
3462,staffing and recruiting,4.4
3463,veterinary,3.48
3464,computer software,3.48
3465,media production,3.44
3466,search engines and internet portals,3.43
3467,media and internet,3.43
3468,publishing,3.43
3469,public policy,10.46
3470,computer software,2.44
3471,real estate,3.45
3472,semiconductors,2.46
3473,internet,3.45
3474,brokerage,2.46
3475,finance,2.46
3476,credit cards and transaction processing,2.46
3477,entertainment,3.41
3478,computer software,3.47
3479,information technology and services,4.4
3480,outsourcing/offshoring,3.42
3481,oil and energy,10.48
3482,design,10.48
3483,software development and design,10.48
3484,software,10.48
3485,custom software and technical consulting,10.48
3486,k-12 schools,10.47
3487,education,10.47
3488,marketing and advertising,3.44
3489,internet,10.47
3490,internet,3.47
3491,information technology and services,3.43
3492,information technology and services,3.46
3493,computer software,4.36
3494,rail,2.45
3495,bus and taxi,2.45
3496,transportation,2.45
3497,computer software,3.49
3498,banking,3.43
3499,banking,3.43
3500,consumer electronics,10.47
3501,marketing and advertising,3.47
3502,banking,3.43
3503,banking,3.43
3504,computer software,3.44
3505,education management,10.48
3506,information technology and services,3.48
3507,marketing and advertising,3.47
3508,computer software,3.48
3509,automotive,3.38
3510,information technology and services,3.43
3511,information technology and services,3.43
3512,information technology and services,3.43
3513,management consulting,10.49
3514,archetechand planning,3.43
3515,internet,2.45
3516,marketing and advertising,4.47
3517,consumer goods,3.46
3518,/market and research,3.51
3519,design,3.35
3520,computer software,3.45
3521,financial services,3.43
3522,financial services,3.43
3523,financial services,3.43
3524,financial services,3.43
3525,graphic design,3.43
3526,information technology and services,5.26
3527,renewables and environment,4.45
3528,real state,3.46
3529,financial services,3.42
3530,marketing and advertising,2.45
3531,telecommunications,4.43
3532,telephony and wireless,4.43
3533,wireless,4.4
3534,banking,3.43
3535,human recources,3.45
3536,computer games,3.46
3537,software development and design,10.48
3538,software,10.48
3539,custom software and technical consulting,10.48
3540,internet,10.46
3541,computer storage equipment,3.41
3542,computer equipment and peripherals,3.41
3543,manufacturing,3.41
3544,custom software and technical consulting,3.41
3545,software,3.41
3546,storage and system management software,3.41
3547,software development and design,3.41
3548,financial services,3.47
3549,health,3.47
3550,wellness and fitness,3.47
3551,computer software,3.36
3552,human resources,3.45
3553,information technology and services,10.47
3554,marketing and advertising,10.47
3555,aerospace and defense,3.47
3556,manufacturing,3.47
3557,computer games,10.46
3558,computer software,10.47
3559,marketing and advertising,3.47
3560,consumer electronics,10.47
3561,consumer goods,10.47
3562,manufacturing,10.47
3563,boats and submarines,10.47
3564,commercial and residential construction,10.47
3565,water and water treatment,10.47
3566,construction,10.47
3567,energy,10.47
3568,utilities and waste treatment,10.47
3569,semiconductor and semiconductor equipment,10.47
3570,electronics,10.47
3571,information technology and services,3.46
3572,financial services,3.47
3573,call centers and business centers,10.48
3574,business services,10.48
3575,computer software,3.44
3576,marketing and advertising,3.44
3577,computer and network security,3.46
3578,higher education,3.48
3579,information technology and services,10.47
3580,higher education,3.48
3581,information technology and services,4.51
3582,computer software,10.49
3583,market research,3.47
3584,software development and design,3.46
3585,software,3.46
3586,engineering software,3.46
3587,financial,3.46
3588,legal and hr software,3.46
3589,computer software,10.47
3590,internet,3.45
3591,finacial services,2.45
3592,marketing and advertising,10.47
3593,computer games,10.47
3594,computer software,10.45
3595,computer software,10.47
3596,internet,3.39
3597,computer software,10.48
3598,financial services,2.48
3599,information technology and services,3.47
3600,consumer electronics,10.47
3601,consumer goods,10.47
3602,manufacturing,10.47
3603,boats and submarines,10.47
3604,commercial and residential construction,10.47
3605,water and water treatment,10.47
3606,construction,10.47
3607,energy,10.47
3608,utilities and waste treatment,10.47
3609,semiconductor and semiconductor equipment,10.47
3610,electronics,10.47
3611,software development and design,10.46
3612,software,10.46
3613,entertainment,3.45
3614,human resources and staffing,3.47
3615,business services,3.47
3616,computer software,3.47
3617,computer software,10.45
3618,colleges and universities,3.45
3619,education,3.45
3620,software development and design,4.44
3621,software,4.44
3622,financial,4.44
3623,legal and hr software,4.44
3624,accounting and accounting services,4.44
3625,business services,4.44
3626,engineering software,4.44
3627,computer software,10.45
3628,computer software,3.4
3629,biotechnology,3.39
3630,computer games,3.5
3631,computer software,3.32
3632,information services,3.47
3633,medical devices and equipment,2.47
3634,manufacturing,2.47
3635,insurance,3.45
3636,information technology consultancy activities,3.49
3637,computer software,2.45
3638,financial services,3.45
3639,hospitals and clinics,2.45
3640,healthcare,2.45
3641,medical testing and clinical laboratories,2.45
3642,medical devices and equipment,4.4
3643,manufacturing,4.4
3644,medical testing and clinical laboratories,4.4
3645,healthcare,4.4
3646,computer software,10.48
3647,computer software,3.45
3648,computer software,10.47
3649,marketing and advertising,3.46
3650,internet,3.43
3651,information services,10.47
3652,music,10.49
3653,restaurants,3.35
3654,software development and design,10.39
3655,software,10.39
3656,engineering software,10.39
3657,consumer electronics,10.39
3658,consumer goods,10.39
3659,telecommunication equipment,10.39
3660,manufacturing,10.39
3661,fitness and dance facilities,4.43
3662,recreation,4.43
3663,hospitality,4.43
3664,financial services,3.45
3665,software development and design,3.45
3666,software,3.45
3667,computer storage equipment,3.45
3668,computer equipment and peripherals,3.45
3669,manufacturing,3.45
3670,business services,3.45
3671,storage and system management software,3.45
3672,research,3.46
3673,airlines,3.39
3674,airports and air services,3.39
3675,transportation,3.39
3676,information technology and services,3.47
3677,law enforcement,3.4
3678,comsumer electronics,3.47
3679,computer software,3.44
3680,publishing,2.46
3681,computer software,3.46
3682,k-12 schools,10.47
3683,education,10.47
3684,internet,3.4
3685,internet,10.47
3686,computer software,3.46
3687,computer software,3.45
3688,software development and design,4.45
3689,software,4.45
3690,information and document management,4.45
3691,business services,4.45
3692,engineering software,4.45
3693,enterprise resource planning software(erp),4.45
3694,information services,2.4
3695,computer games,3.47
3696,mobile applications,3.47
3697,internet,3.45
3698,computer software,3.41
3699,information technology and services,3.46
3700,electrical/electronic manufacturing,3.45
3701,financial services,10.47
3702,computer software,2.45
3703,media production,10.44
3704,investment management,3.44
3705,marketing and advertising,3.41
3706,custom software and technical consulting,3.44
3707,software,3.44
3708,credit cards and transaction processing,3.44
3709,finance,3.44
3710,marketing and advertising,4.44
3711,computer software,10.47
3712,human resources and staffing,3.46
3713,business services,3.46
3714,public relations and communications,4.44
3715,internet,3.48
3716,computer software,3.43
3717,goverment administration,3.43
3718,online media,10.46
3719,marketing and advertising,3.44
3720,staffing and recruiting,3.38
3721,information technology and services,10.46
3722,internet,10.41
3723,information technology and services,10.48
3724,hospital and health care,3.47
3725,computer games,10.47
3726,information technology and services,3.49
3727,printing,3.45
3728,internet,3.36
3729,information technology and services,3.44
3730,computer software,3.38
3731,education management,10.48
3732,professional training and coaching,10.49
3733,computer software,3.45
3734,internet,3.47
3735,real estate,3.41
3736,computer software,3.48
3737,marketing and advertising,3.45
3738,telecommunications,3.37
3739,electrical/electronic manufacturing,3.45
3740,mechanical or industrial engineering,3.44
3741,consumer goods,3.44
3742,computer software,3.48
3743,retail,3.47
3744,marketing and advertising,3.46
3745,computer software,10.46
3746,music,3.44
3747,music,3.46
3748,information technology and services,3.42
3749,internet,3.45
3750,financial services,3.45
3751,internet,10.46
3752,computer software,3.47
3753,wholesale,3.42
3754,san francisco bay area,3.45
3755,program development,10.49
3756,information technology and services,3.42
3757,wholesale,3.39
3758,information technology and services,3.47
3759,computer software,10.46
3760,information technology and services,3.43
3761,computer software,10.46
3762,information technology and services,10.47
3763,market research,3.46
3764,staff and recruiting,3.46
3765,computer software,3.43
3766,information technology and services,3.43
3767,information technology and services,3.46
3768,e-learning,3.46
3769,internet,3.44
3770,civic and social organization,3.45
3771,internet,3.44
3772,computer software,10.49
3773,internet,10.47
3774,computer software,3.46
3775,power conversion and protection equipment,3.45
3776,electronics,3.45
3777,manufacturing,3.45
3778,internet,10.44
3779,mobile applications,2.47
3780,computer software,3.43
3781,online media,10.47
3782,information technology and services,10.48
3783,computer software,3.42
3784,marketing and advertising,3.4
3785,information technology and services,3.41
3786,higher education,3.45
3787,hospital and health care,3.45
3788,hospital and health care,3.44
3789,online media,10.45
3790,financial services,3.44
3791,information technology and services,3.36
3792,internet,10.47
3793,computer hardware,3.43
3794,telephony and wireless,3.46
3795,telecommunications,3.46
3796,engineering software,3.46
3797,software development and design,3.46
3798,software,3.46
3799,internet,10.48
3800,media company,3.38
3801,internet,3.47
3802,sports,3.37
3803,transportation/trucking/railroad,10.47
3804,financial services,3.42
3805,restaurants,3.34
3806,online media,10.45
3807,search engine,3.43
3808,identity management,3.43
3809,seo,3.43
3810,social media,3.43
3811,advertising,3.43
3812,local,3.43
3813,mobile,3.43
3814,internet,2.44
3815,computer software,10.45
3816,computer software,10.47
3817,information technology and services,10.43
3818,online media,10.48
3819,outsourcing/offshoring,10.85
3820,computer software,3.46
3821,computer software,3.46
3822,financial services,3.37
3823,internet,10.48
3824,financial services,10.49
3825,staffing and recruiting,3.46
3826,internet,3.41
3827,computer software,3.38
3828,computer networking,4.45
3829,health,3.47
3830,wellness and fitness,3.47
3831,internet,3.39
3832,wireless,3.43
3833,internet,3.43
3834,apparel and fashion,10.46
3835,information technology and services,10.46
3836,computer software,3.46
3837,environmental services,10.54
3838,hospital and health care,3.43
3839,hospital and health care,3.38
3840,environmental services,10.47
3841,information technology and services,3.37
3842,airlines/aviation,10.44
3843,food production,3.47
3844,publishing,10.48
3845,information technology and services,3.41
3846,religious institutions,10.45
3847,university,3.44
3848,information technology and services,10.47
3849,marketing and advertising,3.44
3850,management consulting,3.4
3851,computer software,3.33
3852,computer software,10.46
3853,internet,10.45
3854,software development and design,3.43
3855,software,3.43
3856,engineering software,3.43
3857,internet,3.41
3858,computer software,3.44
3859,information technology and services,10.45
3860,internet,3.45
3861,entertainment,3.45
3862,marketing and advertising,3.44
3863,information technology and services,2.43
3864,information technology and services,10.48
3865,graphic design,10.72
3866,internet,10.47
3867,internet,3.39
3868,colleges and universities,10.46
3869,education,10.46
3870,computer software,3.48
3871,computer software,3.41
3872,consumer services,10.47
3873,events services,3.43
3874,computer software,10.4
3875,broadcast media,3.46
3876,cosmetics,3.42
3877,financial services,3.36
3878,computer games,3.46
3879,information collection and delivery,2.45
3880,media and internet,2.45
3881,finance,2.45
3882,computer software,10.46
3883,internet,10.51
3884,computer software,10.47
3885,information technology and services,10.48
3886,retail,3.42
3887,information technology and services,10.44
3888,computer software,3.36
3889,computer software,2.4
3890,retail,3.44
3891,political organization,10.47
3892,internet,10.46
3893,software development and design,10.44
3894,software,10.44
3895,marketing and advertising,3.4
3896,information technology and services,3.21
3897,computer software,3.34
3898,information technology and services,3.46
3899,internet,3.4
3900,internet,10.53
3901,information services,3.41
3902,credit cards and transaction processing,3.43
3903,finance,3.43
3904,banking,3.43
3905,computer software,10.47
3906,human resources and staffing,10.41
3907,business services,10.41
3908,finance,10.41
3909,internet,10.48
3910,custom software and technical consulting,3.48
3911,software,3.48
3912,computer software,10.48
3913,marketing and advertising,3.39
3914,telecommunications,3.37
3915,consumer goods,3.42
3916,publishing,10.48
3917,information technology and services,10.47
3918,consumer services,10.45
3919,information technology and services,10.48
3920,human resources,3.43
3921,computer software,10.47
3922,biotechnology,3.48
3923,retail,3.44
3924,personal computers and peripherals,10.48
3925,computer equipment and peripherals,10.48
3926,manufacturing,10.48
3927,consumer electronics and computers,10.48
3928,retail,10.48
3929,telecommunication equipment,10.48
3930,computer software,3.45
3931,e-learning,10.46
3932,internet,3.45
3933,computer hardware,3.4
3934,information technology and services,3.4
3935,pharmaceuticals,10.45
3936,computer software,3.37
3937,computer software,3.43
3938,internet,3.44
3939,e-learning,10.48
3940,mental health care,3.44
3941,publishing,4.46
3942,entertainment,3.47
3943,marketing and advertising,3.4
3944,information technology and services,3.47
3945,computer software,10.47
3946,information technology and services,3.4
3947,publishing,3.47
3948,media and internet,3.47
3949,transportation/trucking/railroad,3.45
3950,search engines and internet portals,10.42
3951,media and internet,10.42
3952,airlines/aviation,3.47
3953,information services,3.45
3954,information technology and services,10.46
3955,internet,3.37
3956,chemicals,10.48
3957,computer software,3.35
3958,outsourcing/offshoring,3.47
3959,information services,3.47
3960,music,10.44
3961,information technology and services,3.44
3962,computer software,10.46
3963,newspapers and news services,10.47
3964,media and internet,10.47
3965,business supplies and equipment,3.44
3966,computer software,10.46
3967,hospital and health care,3.38
3968,oil and energy,3.45
3969,information technology and services,10.36
3970,marketing and advertising,3.44
3971,internet,10.49
3972,computer games,10.54
3973,information technology and services,10.48
3974,information technology and services,3.37
3975,social media,3.46
3976,apps,3.46
3977,dating,3.46
3978,mobile,3.46
3979,information technology and services,3.45
3980,computer software,3.47
3981,internet,3.45
3982,internet,3.43
3983,information technology and services,3.47
3984,internet,3.46
3985,internet,3.43
3986,computer software,10.47
3987,financial services,10.47
3988,computer software,3.43
3989,internet,10.46
3990,computer software,3.47
3991,home furnishing retail,3.45
3992,internet,3.44
3993,online media,3.45
3994,financial services,3.44
3995,health,3.36
3996,wellness and fitness,3.36
3997,computer software,10.45
3998,publishing,3.29
3999,media and internet,3.29
4000,computer software,3.45
4001,computer software,10.49
4002,marketing and advertising,3.4
4003,apparel and fashion,3.45
4004,advertising and marketing,3.44
4005,business services,3.44
4006,software development and design,3.44
4007,software,3.44
4008,search engines and internet portals,3.44
4009,media and internet,3.44
4010,e-learning,3.47
4011,music,3.43
4012,hospital and health care,10.46
4013,retail,3.47
4014,leisure,3.46
4015,travel and tourism,3.46
4016,universities,10.47
4017,marketing and advertising,3.44
4018,financial services,3.47
4019,consumer goods,3.47
4020,fitness and dance facilities,10.36
4021,recreation,10.36
4022,hospitality,10.36
4023,retail,3.37
4024,computer software,10.46
4025,telecommunications,3.45
4026,marketing and advertising,3.44
4027,computer software,3.44
4028,computer software,10.47
4029,information technology and services,3.46
4030,internet,3.43
4031,information technology and services,3.32
4032,computer software,10.47
4033,internet,3.47
4034,information technology and services,3.43
4035,marketing and advertising,3.44
4036,internet,10.45
4037,information technology and services,3.46
4038,computer software,3.4
4039,computer software,2.31
4040,computer software,3.42
4041,information technology and services,10.47
4042,computer software,10.49
4043,e-learning,3.4
4044,information technology and services,3.45
4045,software development and design,3.45
4046,software,3.45
4047,engineering software,3.45
4048,business intelligence software(bi),3.45
4049,enterprise resource planning software(erp),3.45
4050,marketing and advertising,3.36
4051,information technology and services,3.43
4052,information technology and services,3.46
4053,computer software,2.44
4054,computer software,3.45
4055,information technology and services,3.47
4056,information technology and services,10.47
4057,internet,3.46
4058,manufacturing,2.42
4059,telecommunication equipment,2.42
4060,computer networking equipment,2.42
4061,computer equipment and peripherals,2.42
4062,telecommunications,2.42
4063,internet service providers,2.42
4064,website hosting and internet-related services,2.42
4065,computer software,3.47
4066,computer network,8.46
4067,internet,3.44
4068,telecommunications,3.47
4069,manufacturing,2.4
4070,telecommunication equipment,2.4
4071,computer networking equipment,2.4
4072,computer equipment and peripherals,2.4
4073,business services,2.4
4074,advertising and marketing,4.4
4075,business services,4.4
4076,search engines and internet portals,4.4
4077,media and internet,4.4
4078,media production,4.44
4079,telecommunications,4.52
4080,information technology and services,3.43
4081,internet,4.48
4082,software development and design,4.41
4083,software,4.41
4084,consumer electronics,4.41
4085,consumer goods,4.41
4086,telecommunication equipment,4.41
4087,manufacturing,4.41
4088,engineering software,4.41
4089,information technology and services,3.45
4090,electrical/electronic manufacturing,4.45
4091,information technology and services,3.48
4092,telephony and wireless,3.43
4093,telecommunications,3.43
4094,software development and design,4.46
4095,software,4.46
4096,custom software and technical consulting,4.46
4097,online media,4.44
4098,retail,2.36
4099,information technology and services,7.46
4100,information technology and services,10.49
4101,training,2.39
4102,education,2.39
4103,e-learning,4.5
4104,online media,10.47
4105,internet,2.42
4106,computer games,3.43
4107,computer software,3.47
4108,marketing and advertising,2.42
4109,aviation and aerospace,2.43
4110,banking,4.42
4111,information technology and services,3.44
4112,information technology and services,3.46
4113,custom software and technical consulting,3.43
4114,software,3.43
4115,software development and design,3.43
4116,telecommunications,2.42
4117,information technology and services,2.42
4118,computer software,4.46
4119,consumer electronics,10.47
4120,consumer goods,10.47
4121,manufacturing,10.47
4122,boats and submarines,10.47
4123,commercial and residential construction,10.47
4124,water and water treatment,10.47
4125,construction,10.47
4126,energy,10.47
4127,utilities and waste treatment,10.47
4128,semiconductor and semiconductor equipment,10.47
4129,electronics,10.47
4130,banking,3.45
4131,government administration,10.48
4132,information technology and services,3.42
4133,higher education,10.48
4134,software development and design,7.42
4135,software,7.42
4136,software development and design,4.43
4137,software,4.43
4138,consumer electronics,4.43
4139,consumer goods,4.43
4140,telecommunication equipment,4.43
4141,manufacturing,4.43
4142,engineering software,4.43
4143,computer software,4.47
4144,computer software,3.44
4145,information technology and services,4.45
4146,fine art,2.43
4147,custom software and technical consulting,2.42
4148,software,2.42
4149,credit cards and transaction processing,4.44
4150,finance,4.44
4151,custom software and technical consulting,4.44
4152,software,4.44
4153,computer games,3.43
4154,health and nutrition products,4.45
4155,consumer goods,4.45
4156,manufacturing,4.45
4157,fitness and dance facilities,4.45
4158,recreation,4.45
4159,hospitality,4.45
4160,information technology and services,4.46
4161,computer software,7.56
4162,telecommunications,2.43
