,index,0
927,information technology and services,719
928,leisure,720
929, travel and tourism,720
930,software development and design,721
931,software,721
932,financial,721
933, legal and hr software,721
934,internet,722
935,computer software,723
936,business supplies and equipment,724
937,colleges and universities,725
938,education,725
939,retail,726
940,hospital and health care,727
941,software development and design,728
942,software,728
943,engineering software,728
944,business intelligence software(bi),728
945,enterprise resource planning software(erp),728
946,computer software,729
947,telecommunications,730
948,information technology and services,731
949,computer software,732
950,internet,733
951,internet,734
952,information technology and services,735
953,hospital and health care,739
954,internet,742
955,computer software,743
956,marketing and advertising,744
957,management consulting,745
958,marketing and advertising,747
959,internet,748
960,leisure,749
961, travel and tourism,749
962,education management,750
963,entertainment,751
964,computer software,753
965,computer software,754
966,internet,756
967,"e-learning
",757
968,information technology and services,758
969,marketing and advertising,759
970,information technology and services,762
971,higher education,763
972,computer software,764
973,consumer electronics,767
974, analytics,770
975,"financial services
",771
976,"computer software
",772
977,consumer electronics,773
978,internet,774
979,"oil and energy
",775
980,sports,776
981,"human resources
",777
982,"computer software
",778
983,"information technology and services
",779
984,"government administration
",781
985,"hospitality
",782
986,"information technology and services
",783
987,"civic and social organization
",784
988,"computer software
",785
989,internet,786
990,"information technology and services
",787
991,"information technology and services
",789
992,"information technology and services
",791
993,computer software,792
994,"information technology and services
",793
995,"computer software
",794
996,internet,795
997,"education management
",798
998,"hospital and health care
",799
999,real estate,800
1000,internet,801
1001,construction,802
1002,software development and design,803
1003,software,803
1004,engineering software,803
1005,business intelligence software(bi),803
1006,enterprise resource planning software(erp),803
1007,"information services
",804
1008,"transportation/trucking/railroad
",805
1009,"education management
",806
1010,internet,807
1011,accounting,809
1012,human resources and staffing,810
1013,business services,810
1014,software development and design,810
1015,software,810
1016,engineering software,810
1017,"information technology and services
",812
1018,marketing and advertising,814
1019,"staffing and recruiting
",815
1020,"human resources
",816
1021,staffing and recruiting,817
1022,search engine,818
1023,printing,819
1024,publishing,820
1025,information technology and services,821
1026,"marketing and advertising
",822
1027,music,823
1028,"nonprofit organization management
",825
1029,"education management
",826
1030,"consumer services
",827
1031,internet,828
1032,"consumer services
",829
1033,engineering software,830
1034,software development and design,830
1035,software,830
1036,retail software,830
1037,"online media
",831
1038,internet,833
1039,nonprofit organization management,834
1040,computer software,835
1041,computer software,836
1042,nonprofit organization management,837
1043,retail,838
1044,information services,839
1045,information and document management,840
1046,business services,840
