,industry,total_score,dummies
3006,information technologies and services,3.43,1
3007,information technologies and services,3.43,1
3008,information technologies and services,3.43,1
3009,computer software,10.46,1
3010,internet,3.48,1
3011,publishing,10.48,1
3012,information technology and services,10.48,1
3013,training,10.48,1
3014,education,10.48,1
3015,management consulting,10.48,1
3016,software development and design,10.48,1
3017,business services,10.48,1
3018,software,10.48,1
3019,computer software,10.48,1
3020,information technology and services,10.48,1
3021,financial services,10.43,1
3022,retail,4.4,1
3023,construction,10.49,1
3024,public policy,10.47,1
3025,consumer electronics,2.45,1
3026,computer and network security,3.45,1
3027,chemicals,10.49,1
3028,chemicals,10.49,1
3029,petrochemicals,10.49,1
3030,glass and gases,10.49,1
3031,manufacturing,10.49,1
3032,information technology and services,2.45,1
3033,medical devices,3.4,1
3034,credit cards and transaction processing,3.46,1
3035,finance,3.46,1
3036,computer equipment and peripherals,3.46,1
3037,software development and design,3.46,1
3038,office products,3.46,1
3039,telecommunication equipment,3.46,1
3040,manufacturing,3.46,1
3041,retail,3.46,1
3042,software,3.46,1
3043,software development and design,10.48,1
3044,software,10.48,1
3045,search engines and internet portals,10.48,1
3046,media and internet,10.48,1
3047,information technology and services,3.45,1
3048,information and document management,3.46,1
3049,business services,3.46,1
3050,custom software and technical consulting,3.46,1
3051,software,3.46,1
3052,internet,3.47,1
3053,retail,10.47,1
3054,human resources,2.48,1
3055,hospital and health care,3.44,1
3056,information technology and services,4.43,1
3057,online media,3.44,1
3058,information services,10.43,1
3059,logistics and supply chain,2.45,1
3060,search engines and internet portals,3.43,1
3061,media and internet,3.43,1
3062,apparel and accessories,3.43,1
3063,retail,3.43,1
3064,software development and design,3.43,1
3065,software,3.43,1
3066,computer games,3.45,1
3067,government administration,3.43,1
3068,search engines and internet portals,10.46,1
3069,media and internet,10.46,1
3070,environmental services,3.47,1
3071,internet,3.43,1
3072,computer software,3.49,1
3073,online media,3.44,1
3074,computer games,10.48,1
3075,human resources and staffing,3.5,1
3076,business services,3.5,1
3077,security and investigations,3.44,1
3078,engineering software,3.48,1
3079,software development and design,3.48,1
3080,software,3.48,1
3081,information collection and delivery,4.44,1
3082,media and internet,4.44,1
3083,training,3.44,1
3084,education,3.44,1
3085,information technology and services,3.48,1
3086,internet,3.45,1
3087,computer games,3.39,1
3088,gambling and casinos,3.45,1
3089,computer software,10.48,1
3090,computer software,10.47,1
3091,computer software,3.45,1
3092,gambling and casinos,3.47,1
3093,computer games,3.45,1
3094,information technology and services,3.45,1
3095,media production,3.46,1
3096,internet,10.44,1
3097,insurance,4.47,1
3098,banking,3.43,1
3099,medical devices and equipment,2.46,1
3100,manufacturing,2.46,1
3101,healthcare,2.46,1
3102,internet,3.47,1
3103,marketing and advertising,3.46,1
3104,charitable organizations and foundations,3.38,1
3105,organizations,3.38,1
3106,information technology and services,9.26,1
3107,television stations,3.42,1
3108,broadcasting,3.42,1
3109,media and internet,3.42,1
3110,information technology and services,2.46,1
3111,computer software,10.45,1
3112,software development and design,10.51,1
3113,software,10.51,1
3114,search engines and internet portals,10.51,1
3115,media and internet,10.51,1
3116,software development and design,3.45,1
3117,software,3.45,1
3118,electronics,3.45,1
3119,manufacturing,3.45,1
3120,batteries,3.45,1
3121,power storage equipment and generators,3.45,1
3122,power conversion and protection equipment,3.45,1
3123,medical devices and equipment,3.45,1
3124,test and measurement equipment,3.45,1
3125,marketing and advertising,10.45,1
3126,software development and design,3.47,1
3127,software,3.47,1
3128,financial,3.47,1
3129,legal and hr software,3.47,1
3130,investment banking,3.44,1
3131,internet,10.46,1
3132,grocery,10.46,1
3133,retail,10.46,1
3134,computer software,3.44,1
3135,information technology and services,3.47,1
3136,information technology and services,3.47,1
3137,software development and design,2.46,1
3138,software,2.46,1
3139,network security hardware and software,2.46,1
3140,computer equipment and peripherals,2.46,1
3141,manufacturing,2.46,1
3142,industrial machinery and equipment,2.46,1
3143,information technology and services,3.47,1
3144,marketing and advertising,4.41,1
3145,marketing and advertising,3.41,1
3146,information technology and services,3.47,1
3147,internet,2.47,1
3148,computer software,3.44,1
3149,automotive,3.47,1
3150,comnsumer services,3.45,1
3151,computer software,10.47,1
3152,computer software,10.47,1
3153,information technology and services,10.44,1
3154,internet,3.45,1
3155,internet,3.4,1
3156,financial services,3.48,1
3157,network security hardware and software,3.44,1
3158,computer equipment and peripherals,3.44,1
3159,manufacturing,3.44,1
3160,telecommunication equipment,3.44,1
3161,computer software,4.42,1
3162,computer software,4.43,1
3163,information technology and services,2.47,1
3164,computer software,3.46,1
3165,computer hardware,10.49,1
3166,software development and design,3.4,1
3167,software,3.4,1
3168,engineering software,3.4,1
3169,business intelligence software(bi),3.4,1
3170,enterprise resource planning software(erp),3.4,1
3171,internet,10.48,1
3172,human resources,3.46,1
3173,mobile applications,3.46,1
3174,computer software,2.46,1
3175,internet,3.45,1
3176,civil engineering,3.47,1
3177,arts and crafts,3.42,1
3178,hospital and health care,10.47,1
3179,information technology and services,3.45,1
3180,internet,2.46,1
3181,financial services,2.45,1
3182,its,3.46,1
3183,sports,4.47,1
3184,health,10.49,1
3185,wellness and fitness,10.49,1
3186,consumer goods,3.45,1
3187,internet,3.44,1
3188,information technology and services,3.46,1
3189,construction,3.39,1
3190,accounting and accounting services,3.39,1
3191,business services,3.39,1
3192,construction,3.47,1
3193,custom software and technical consulting,3.48,1
3194,software,3.48,1
3195,k-12 schools,3.48,1
3196,education,3.48,1
3197,computer software,4.66,1
3198,renewables and environment,3.47,1
3199,media production,3.46,1
3200,sports,10.48,1
3201,law practice,4.41,1
3202,computer software,3.43,1
3203,e-learning,4.46,1
3204,information technology and services,3.42,1
3205,philantropy,3.47,1
3206,computer software,10.48,1
3207,health,2.46,1
3208,wellness and fitness,2.46,1
3209,network security hardware and software,2.45,1
3210,computer equipment and peripherals,2.45,1
3211,manufacturing,2.45,1
3212,consumer electronics,2.45,1
3213,consumer goods,2.45,1
3214,telecommunication equipment,2.45,1
3215,custom software and technical consulting,2.45,1
3216,software,2.45,1
3217,financial services,10.42,1
3218,computer hardware,3.48,1
3219,internet,10.65,1
3220,computer software,10.5,1
3221,custom software and technical consulting,3.43,1
3222,software,3.43,1
3223,software development and design,3.43,1
3224,wireless,3.42,1
3225,internet,10.48,1
3226,telephony and wireless,3.45,1
3227,telecommunications,3.45,1
3228,program development,2.45,1
3229,computer software,3.41,1
3230,information technology and services,2.47,1
3231,information technology and services,3.44,1
3232,internet,10.47,1
3233,internet,3.41,1
3234,music,3.43,1
3235,fiancial services,10.51,1
3236,computer software,3.42,1
3237,information services,10.46,1
3238,computer software,3.39,1
3239,computer software,3.47,1
3240,information technology and services,3.4,1
3241,computer software,3.45,1
3242,investment management,10.46,1
3243,internet,3.47,1
3244,medical devices,3.46,1
3245,internet,10.52,1
3246,banking,3.44,1
3247,retail,3.45,1
3248,telecommunications,3.39,1
3249,internet,3.46,1
3250,management consulting,3.47,1
3251,internet,4.44,1
3252,marketing and advertising,3.47,1
3253,retail,3.43,1
3254,machinery,2.42,1
3255,semiconductors,2.41,1
3256,food and beverage,10.45,1
3257,internet,3.47,1
3258,computer software,3.42,1
3259,telecommunications,3.47,1
3260,health,3.47,1
3261,wellness and fitness,3.47,1
3262,financial services,3.47,1
3263,biotechnology,10.48,1
3264,internet,10.47,1
3265,social network,10.47,1
3266,health,3.42,1
3267,wellness and fitness,3.42,1
3268,financial services,4.44,1
3269,internet,3.44,1
3270,colleges and universities,3.4,1
3271,education,3.4,1
3272,accounting,3.44,1
3273,software development and design,3.46,1
3274,software,3.46,1
3275,engineering software,3.46,1
3276,custom software and technical consulting,3.46,1
3277,software development and design,10.49,1
3278,software,10.49,1
3279,search engines and internet portals,10.49,1
3280,media and internet,10.49,1
3281,program development,10.5,1
3282,banking,10.48,1
3283,finance,10.48,1
3284,information technology and services,3.47,1
3285,international trade and development,3.47,1
3286,software development and design,10.49,1
3287,software,10.49,1
3288,consumer electronics,10.49,1
3289,consumer goods,10.49,1
3290,telecommunication equipment,10.49,1
3291,manufacturing,10.49,1
3292,engineering software,10.49,1
3293,political organization,3.46,1
3294,software development and design,2.47,1
3295,software,2.47,1
3296,international trade and development,3.49,1
3297,computer software,3.47,1
3298,software development and design,3.45,1
3299,software,3.45,1
3300,computer games,10.49,1
3301,business services,3.43,1
3302,advertising and marketing,3.43,1
3303,management consulting,3.43,1
3304,internet,10.46,1
3305,software development and design,10.45,1
3306,software,10.45,1
3307,financial,10.45,1
3308,legal and hr software,10.45,1
3309,telecommunications,10.49,1
3310,compter software,3.47,1
3311,logistics and supply chain,10.53,1
3312,apparel and fashion,3.48,1
3313,computer software,3.44,1
3314,cleaning products,3.34,1
3315,consumer goods,3.34,1
3316,manufacturing,3.34,1
3317,household goods,3.34,1
3318,home improvement and hardware,3.34,1
3319,retail,3.34,1
3320,internet,3.38,1
3321,information technology and services,10.46,1
3322,entertainment,10.47,1
3323,charitable organizations and foundations,3.42,1
3324,organizations,3.42,1
3325,construction,3.42,1
3326,consumer services,3.42,1
3327,facilities management and commercial cleaning,3.42,1
3328,business services,3.42,1
3329,waste treatment,3.42,1
3330,environmental services and recycling,3.42,1
3331,energy,3.42,1
3332,utilities and waste treatment,3.42,1
3333,insurance,3.47,1
3334,computer software,4.43,1
3335,software development and design,3.42,1
3336,software,3.42,1
3337,publishing,3.42,1
3338,media and internet,3.42,1
3339,e-learning,10.48,1
3340,personal computers and peripherals,3.44,1
3341,computer equipment and peripherals,3.44,1
3342,manufacturing,3.44,1
3343,consumer electronics and computers,3.44,1
3344,retail,3.44,1
3345,batteries,3.44,1
3346,power storage equipment and generators,3.44,1
3347,electronic components,3.44,1
3348,electronics,3.44,1
3349,custom software and technical consulting,3.44,1
3350,software,3.44,1
3351,semiconductor and semiconductor equipment,3.44,1
3352,oil and energy,10.34,1
3353,freight and logistics services,2.47,1
3354,transportation,2.47,1
3355,internet,3.47,1
3356,information technology and services,3.44,1
3357,insurance,10.47,1
3358,software development and design,3.43,1
3359,software,3.43,1
3360,information technology and services,3.46,1
3361,government,10.47,1
3362,computer software,3.47,1
3363,colleges and universities,4.48,1
3364,education,4.48,1
3365,information technology and services,3.47,1
3366,information technology and services,3.39,1
3367,software development and design,3.47,1
3368,software,3.47,1
3369,engineering software,3.47,1
3370,business intelligence software(bi),3.47,1
3371,enterprise resource planning software(erp),3.47,1
3372,software development and design,10.48,1
3373,software,10.48,1
3374,engineering software,10.48,1
3375,business intelligence software(bi),10.48,1
3376,enterprise resource planning software(erp),10.48,1
3377,internet,3.47,1
3378,research,3.44,1
3379,computer games,10.55,1
3380,information technology and services,2.45,1
3381,financial services,10.47,1
3382,computer software,3.43,1
3383,computer software,3.45,1
3384,software development and design,3.45,1
3385,software,3.45,1
3386,engineering software,3.45,1
3387,custom software and technical consulting,3.45,1
3388,colleges and universities,3.44,1
3389,education,3.44,1
3390,publishing,3.44,1
3391,primary/secondary education,3.46,1
3392,engineering software,3.48,1
3393,software development and design,3.48,1
3394,software,3.48,1
3395,internet,10.47,1
3396,sports,3.42,1
3397,internet,3.46,1
3398,electrical/electronic manufacturing,3.41,1
3399,pharmaceuticals,3.46,1
3400,information technology and services,3.44,1
3401,information collection and delivery,3.43,1
3402,media and internet,3.43,1
3403,publishing,3.43,1
3404,commercial printing,3.43,1
3405,business services,3.43,1
3406,custom software and technical consulting,3.43,1
3407,law firms and legal services,3.43,1
3408,software,3.43,1
3409,finance,3.43,1
3410,telecommunications,3.43,1
3411,information technology and services,2.45,1
3412,consumer electronics,3.47,1
3413,environmental services,3.48,1
3414,software development and design,4.37,1
3415,software,4.37,1
3416,engineering software,4.37,1
3417,consumer electronics,4.37,1
3418,consumer goods,4.37,1
3419,telecommunication equipment,4.37,1
3420,manufacturing,4.37,1
3421,computer software,3.48,1
3422,computer software,10.45,1
3423,financial services,3.44,1
3424,information technology and sevices,10.46,1
3425,computer software,10.47,1
3426,human resources and staffing,3.47,1
3427,business services,3.47,1
3428,software development and design,3.47,1
3429,software,3.47,1
3430,accounting and accounting services,3.47,1
3431,engineering software,3.47,1
3432,banking,3.44,1
3433,information technology and services,4.42,1
3434,internet service providers,2.45,1
3435,website hosting and internet-related services,2.45,1
3436,telecommunications,2.45,1
3437,custom software and technical consulting,2.45,1
3438,software development and design,2.45,1
3439,business services,2.45,1
3440,software,2.45,1
3441,search engines and internet portals,2.45,1
3442,media and internet,2.45,1
3443,finance,3.41,1
3444,banking,3.41,1
3445,investment banking,3.41,1
3446,construction,3.41,1
3447,internet,3.48,1
3448,human resources and staffing,10.47,1
3449,business services,10.47,1
3450,accounting and accounting services,10.47,1
3451,information technology and services,3.47,1
3452,marketing and advertising,3.43,1
3453,information technology and services,3.42,1
3454,computer software,10.48,1
3455,entertainment,10.51,1
3456,banking,4.37,1
3457,government administration,3.44,1
3458,banking,4.41,1
3459,computer software,3.44,1
3460,telecommunications,3.45,1
3461,computer software,3.47,1
3462,staffing and recruiting,4.4,1
3463,veterinary,3.48,1
3464,computer software,3.48,1
3465,media production,3.44,1
3466,search engines and internet portals,3.43,1
3467,media and internet,3.43,1
3468,publishing,3.43,1
3469,public policy,10.46,1
3470,computer software,2.44,1
3471,real estate,3.45,1
3472,semiconductors,2.46,1
3473,internet,3.45,1
3474,brokerage,2.46,1
3475,finance,2.46,1
3476,credit cards and transaction processing,2.46,1
3477,entertainment,3.41,1
3478,computer software,3.47,1
3479,information technology and services,4.4,1
3480,outsourcing/offshoring,3.42,1
3481,oil and energy,10.48,1
3482,design,10.48,1
3483,software development and design,10.48,1
3484,software,10.48,1
3485,custom software and technical consulting,10.48,1
3486,k-12 schools,10.47,1
3487,education,10.47,1
3488,marketing and advertising,3.44,1
3489,internet,10.47,1
3490,internet,3.47,1
3491,information technology and services,3.43,1
3492,information technology and services,3.46,1
3493,computer software,4.36,1
3494,rail,2.45,1
3495,bus and taxi,2.45,1
3496,transportation,2.45,1
3497,computer software,3.49,1
3498,banking,3.43,1
3499,banking,3.43,1
3500,consumer electronics,10.47,1
3501,marketing and advertising,3.47,1
3502,banking,3.43,1
3503,banking,3.43,1
3504,computer software,3.44,1
3505,education management,10.48,1
3506,information technology and services,3.48,1
3507,marketing and advertising,3.47,1
3508,computer software,3.48,1
3509,automotive,3.38,1
3510,information technology and services,3.43,1
3511,information technology and services,3.43,1
3512,information technology and services,3.43,1
3513,management consulting,10.49,1
3514,archetechand planning,3.43,1
3515,internet,2.45,1
3516,marketing and advertising,4.47,1
3517,consumer goods,3.46,1
3519,design,3.35,1
3520,computer software,3.45,1
3521,financial services,3.43,1
3522,financial services,3.43,1
3523,financial services,3.43,1
3524,financial services,3.43,1
3525,graphic design,3.43,1
3526,information technology and services,5.26,1
3527,renewables and environment,4.45,1
3528,real state,3.46,1
3529,financial services,3.42,1
3530,marketing and advertising,2.45,1
3531,telecommunications,4.43,1
3532,telephony and wireless,4.43,1
3533,wireless,4.4,1
3534,banking,3.43,1
3535,human recources,3.45,1
3536,computer games,3.46,1
3537,software development and design,10.48,1
3538,software,10.48,1
3539,custom software and technical consulting,10.48,1
3540,internet,10.46,1
3541,computer storage equipment,3.41,1
3542,computer equipment and peripherals,3.41,1
3543,manufacturing,3.41,1
3544,custom software and technical consulting,3.41,1
3545,software,3.41,1
3546,storage and system management software,3.41,1
3547,software development and design,3.41,1
3548,financial services,3.47,1
3549,health,3.47,1
3550,wellness and fitness,3.47,1
3551,computer software,3.36,1
3552,human resources,3.45,1
3553,information technology and services,10.47,1
3554,marketing and advertising,10.47,1
3555,aerospace and defense,3.47,1
3556,manufacturing,3.47,1
3557,computer games,10.46,1
3558,computer software,10.47,1
3559,marketing and advertising,3.47,1
3560,consumer electronics,10.47,1
3561,consumer goods,10.47,1
3562,manufacturing,10.47,1
3563,boats and submarines,10.47,1
3564,commercial and residential construction,10.47,1
3565,water and water treatment,10.47,1
3566,construction,10.47,1
3567,energy,10.47,1
3568,utilities and waste treatment,10.47,1
3569,semiconductor and semiconductor equipment,10.47,1
3570,electronics,10.47,1
3571,information technology and services,3.46,1
3572,financial services,3.47,1
3573,call centers and business centers,10.48,1
3574,business services,10.48,1
3575,computer software,3.44,1
3576,marketing and advertising,3.44,1
3577,computer and network security,3.46,1
3578,higher education,3.48,1
3579,information technology and services,10.47,1
3580,higher education,3.48,1
3581,information technology and services,4.51,1
3582,computer software,10.49,1
3583,market research,3.47,1
3584,software development and design,3.46,1
3585,software,3.46,1
3586,engineering software,3.46,1
3587,financial,3.46,1
3588,legal and hr software,3.46,1
3589,computer software,10.47,1
3590,internet,3.45,1
3591,finacial services,2.45,1
3592,marketing and advertising,10.47,1
3593,computer games,10.47,1
3594,computer software,10.45,1
3595,computer software,10.47,1
3596,internet,3.39,1
3597,computer software,10.48,1
3598,financial services,2.48,1
3599,information technology and services,3.47,1
3600,consumer electronics,10.47,1
3601,consumer goods,10.47,1
3602,manufacturing,10.47,1
3603,boats and submarines,10.47,1
3604,commercial and residential construction,10.47,1
3605,water and water treatment,10.47,1
3606,construction,10.47,1
3607,energy,10.47,1
3608,utilities and waste treatment,10.47,1
3609,semiconductor and semiconductor equipment,10.47,1
3610,electronics,10.47,1
3611,software development and design,10.46,1
3612,software,10.46,1
3613,entertainment,3.45,1
3614,human resources and staffing,3.47,1
3615,business services,3.47,1
3616,computer software,3.47,1
3617,computer software,10.45,1
3618,colleges and universities,3.45,1
3619,education,3.45,1
3620,software development and design,4.44,1
3621,software,4.44,1
3622,financial,4.44,1
3623,legal and hr software,4.44,1
3624,accounting and accounting services,4.44,1
3625,business services,4.44,1
3626,engineering software,4.44,1
3627,computer software,10.45,1
3628,computer software,3.4,1
3629,biotechnology,3.39,1
3630,computer games,3.5,1
3631,computer software,3.32,1
3632,information services,3.47,1
3633,medical devices and equipment,2.47,1
3634,manufacturing,2.47,1
3635,insurance,3.45,1
3636,information technology consultancy activities,3.49,1
3637,computer software,2.45,1
3638,financial services,3.45,1
3639,hospitals and clinics,2.45,1
3640,healthcare,2.45,1
3641,medical testing and clinical laboratories,2.45,1
3642,medical devices and equipment,4.4,1
3643,manufacturing,4.4,1
3644,medical testing and clinical laboratories,4.4,1
3645,healthcare,4.4,1
3646,computer software,10.48,1
3647,computer software,3.45,1
3648,computer software,10.47,1
3649,marketing and advertising,3.46,1
3650,internet,3.43,1
3651,information services,10.47,1
3652,music,10.49,1
3653,restaurants,3.35,1
3654,software development and design,10.39,1
3655,software,10.39,1
3656,engineering software,10.39,1
3657,consumer electronics,10.39,1
3658,consumer goods,10.39,1
3659,telecommunication equipment,10.39,1
3660,manufacturing,10.39,1
3661,fitness and dance facilities,4.43,1
3662,recreation,4.43,1
3663,hospitality,4.43,1
3664,financial services,3.45,1
3665,software development and design,3.45,1
3666,software,3.45,1
3667,computer storage equipment,3.45,1
3668,computer equipment and peripherals,3.45,1
3669,manufacturing,3.45,1
3670,business services,3.45,1
3671,storage and system management software,3.45,1
3672,research,3.46,1
3673,airlines,3.39,1
3674,airports and air services,3.39,1
3675,transportation,3.39,1
3676,information technology and services,3.47,1
3677,law enforcement,3.4,1
3678,comsumer electronics,3.47,1
3679,computer software,3.44,1
3680,publishing,2.46,1
3681,computer software,3.46,1
3682,k-12 schools,10.47,1
3683,education,10.47,1
3684,internet,3.4,1
3685,internet,10.47,1
3686,computer software,3.46,1
3687,computer software,3.45,1
3688,software development and design,4.45,1
3689,software,4.45,1
3690,information and document management,4.45,1
3691,business services,4.45,1
3692,engineering software,4.45,1
3693,enterprise resource planning software(erp),4.45,1
3694,information services,2.4,1
3695,computer games,3.47,1
3696,mobile applications,3.47,1
3697,internet,3.45,1
3698,computer software,3.41,1
3699,information technology and services,3.46,1
3700,electrical/electronic manufacturing,3.45,1
3701,financial services,10.47,1
3702,computer software,2.45,1
3703,media production,10.44,1
3704,investment management,3.44,1
3705,marketing and advertising,3.41,1
3706,custom software and technical consulting,3.44,1
3707,software,3.44,1
3708,credit cards and transaction processing,3.44,1
3709,finance,3.44,1
3710,marketing and advertising,4.44,1
3711,computer software,10.47,1
3712,human resources and staffing,3.46,1
3713,business services,3.46,1
3714,public relations and communications,4.44,1
3715,internet,3.48,1
3716,computer software,3.43,1
3717,goverment administration,3.43,1
3718,online media,10.46,1
3719,marketing and advertising,3.44,1
3720,staffing and recruiting,3.38,1
3721,information technology and services,10.46,1
3722,internet,10.41,1
3723,information technology and services,10.48,1
3724,hospital and health care,3.47,1
3725,computer games,10.47,1
3726,information technology and services,3.49,1
3727,printing,3.45,1
3728,internet,3.36,1
3729,information technology and services,3.44,1
3730,computer software,3.38,1
3731,education management,10.48,1
3732,professional training and coaching,10.49,1
3733,computer software,3.45,1
3734,internet,3.47,1
3735,real estate,3.41,1
3736,computer software,3.48,1
3737,marketing and advertising,3.45,1
3738,telecommunications,3.37,1
3739,electrical/electronic manufacturing,3.45,1
3740,mechanical or industrial engineering,3.44,1
3741,consumer goods,3.44,1
3742,computer software,3.48,1
3743,retail,3.47,1
3744,marketing and advertising,3.46,1
3745,computer software,10.46,1
3746,music,3.44,1
3747,music,3.46,1
3748,information technology and services,3.42,1
3749,internet,3.45,1
3750,financial services,3.45,1
3751,internet,10.46,1
3752,computer software,3.47,1
3753,wholesale,3.42,1
3754,san francisco bay area,3.45,1
3755,program development,10.49,1
3756,information technology and services,3.42,1
3757,wholesale,3.39,1
3758,information technology and services,3.47,1
3759,computer software,10.46,1
3760,information technology and services,3.43,1
3761,computer software,10.46,1
3762,information technology and services,10.47,1
3763,market research,3.46,1
3764,staff and recruiting,3.46,1
3765,computer software,3.43,1
3766,information technology and services,3.43,1
3767,information technology and services,3.46,1
3768,e-learning,3.46,1
3769,internet,3.44,1
3770,civic and social organization,3.45,1
3771,internet,3.44,1
3772,computer software,10.49,1
3773,internet,10.47,1
3774,computer software,3.46,1
3775,power conversion and protection equipment,3.45,1
3776,electronics,3.45,1
3777,manufacturing,3.45,1
3778,internet,10.44,1
3779,mobile applications,2.47,1
3780,computer software,3.43,1
3781,online media,10.47,1
3782,information technology and services,10.48,1
3783,computer software,3.42,1
3784,marketing and advertising,3.4,1
3785,information technology and services,3.41,1
3786,higher education,3.45,1
3787,hospital and health care,3.45,1
3788,hospital and health care,3.44,1
3789,online media,10.45,1
3790,financial services,3.44,1
3791,information technology and services,3.36,1
3792,internet,10.47,1
3793,computer hardware,3.43,1
3794,telephony and wireless,3.46,1
3795,telecommunications,3.46,1
3796,engineering software,3.46,1
3797,software development and design,3.46,1
3798,software,3.46,1
3799,internet,10.48,1
3800,media company,3.38,1
3801,internet,3.47,1
3802,sports,3.37,1
3803,transportation/trucking/railroad,10.47,1
3804,financial services,3.42,1
3805,restaurants,3.34,1
3806,online media,10.45,1
3807,search engine,3.43,1
3808,identity management,3.43,1
3809,seo,3.43,1
3810,social media,3.43,1
3811,advertising,3.43,1
3812,local,3.43,1
3813,mobile,3.43,1
3814,internet,2.44,1
3815,computer software,10.45,1
3816,computer software,10.47,1
3817,information technology and services,10.43,1
3818,online media,10.48,1
3819,outsourcing/offshoring,10.85,1
3820,computer software,3.46,1
3821,computer software,3.46,1
3822,financial services,3.37,1
3823,internet,10.48,1
3824,financial services,10.49,1
3825,staffing and recruiting,3.46,1
3826,internet,3.41,1
3827,computer software,3.38,1
3828,computer networking,4.45,1
3829,health,3.47,1
3830,wellness and fitness,3.47,1
3831,internet,3.39,1
3832,wireless,3.43,1
3833,internet,3.43,1
3834,apparel and fashion,10.46,1
3835,information technology and services,10.46,1
3836,computer software,3.46,1
3837,environmental services,10.54,1
3838,hospital and health care,3.43,1
3839,hospital and health care,3.38,1
3840,environmental services,10.47,1
3841,information technology and services,3.37,1
3842,airlines/aviation,10.44,1
3843,food production,3.47,1
3844,publishing,10.48,1
3845,information technology and services,3.41,1
3846,religious institutions,10.45,1
3847,university,3.44,1
3848,information technology and services,10.47,1
3849,marketing and advertising,3.44,1
3850,management consulting,3.4,1
3851,computer software,3.33,1
3852,computer software,10.46,1
3853,internet,10.45,1
3854,software development and design,3.43,1
3855,software,3.43,1
3856,engineering software,3.43,1
3857,internet,3.41,1
3858,computer software,3.44,1
3859,information technology and services,10.45,1
3860,internet,3.45,1
3861,entertainment,3.45,1
3862,marketing and advertising,3.44,1
3863,information technology and services,2.43,1
3864,information technology and services,10.48,1
3865,graphic design,10.72,1
3866,internet,10.47,1
3867,internet,3.39,1
3868,colleges and universities,10.46,1
3869,education,10.46,1
3870,computer software,3.48,1
3871,computer software,3.41,1
3872,consumer services,10.47,1
3873,events services,3.43,1
3874,computer software,10.4,1
3875,broadcast media,3.46,1
3876,cosmetics,3.42,1
3877,financial services,3.36,1
3878,computer games,3.46,1
3879,information collection and delivery,2.45,1
3880,media and internet,2.45,1
3881,finance,2.45,1
3882,computer software,10.46,1
3883,internet,10.51,1
3884,computer software,10.47,1
3885,information technology and services,10.48,1
3886,retail,3.42,1
3887,information technology and services,10.44,1
3888,computer software,3.36,1
3889,computer software,2.4,1
3890,retail,3.44,1
3891,political organization,10.47,1
3892,internet,10.46,1
3893,software development and design,10.44,1
3894,software,10.44,1
3895,marketing and advertising,3.4,1
3896,information technology and services,3.21,1
3897,computer software,3.34,1
3898,information technology and services,3.46,1
3899,internet,3.4,1
3900,internet,10.53,1
3901,information services,3.41,1
3902,credit cards and transaction processing,3.43,1
3903,finance,3.43,1
3904,banking,3.43,1
3905,computer software,10.47,1
3906,human resources and staffing,10.41,1
3907,business services,10.41,1
3908,finance,10.41,1
3909,internet,10.48,1
3910,custom software and technical consulting,3.48,1
3911,software,3.48,1
3912,computer software,10.48,1
3913,marketing and advertising,3.39,1
3914,telecommunications,3.37,1
3915,consumer goods,3.42,1
3916,publishing,10.48,1
3917,information technology and services,10.47,1
3918,consumer services,10.45,1
3919,information technology and services,10.48,1
3920,human resources,3.43,1
3921,computer software,10.47,1
3922,biotechnology,3.48,1
3923,retail,3.44,1
3924,personal computers and peripherals,10.48,1
3925,computer equipment and peripherals,10.48,1
3926,manufacturing,10.48,1
3927,consumer electronics and computers,10.48,1
3928,retail,10.48,1
3929,telecommunication equipment,10.48,1
3930,computer software,3.45,1
3931,e-learning,10.46,1
3932,internet,3.45,1
3933,computer hardware,3.4,1
3934,information technology and services,3.4,1
3935,pharmaceuticals,10.45,1
3936,computer software,3.37,1
3937,computer software,3.43,1
3938,internet,3.44,1
3939,e-learning,10.48,1
3940,mental health care,3.44,1
3941,publishing,4.46,1
3942,entertainment,3.47,1
3943,marketing and advertising,3.4,1
3944,information technology and services,3.47,1
3945,computer software,10.47,1
3946,information technology and services,3.4,1
3947,publishing,3.47,1
3948,media and internet,3.47,1
3949,transportation/trucking/railroad,3.45,1
3950,search engines and internet portals,10.42,1
3951,media and internet,10.42,1
3952,airlines/aviation,3.47,1
3953,information services,3.45,1
3954,information technology and services,10.46,1
3955,internet,3.37,1
3956,chemicals,10.48,1
3957,computer software,3.35,1
3958,outsourcing/offshoring,3.47,1
3959,information services,3.47,1
3960,music,10.44,1
3961,information technology and services,3.44,1
3962,computer software,10.46,1
3963,newspapers and news services,10.47,1
3964,media and internet,10.47,1
3965,business supplies and equipment,3.44,1
3966,computer software,10.46,1
3967,hospital and health care,3.38,1
3968,oil and energy,3.45,1
3969,information technology and services,10.36,1
3970,marketing and advertising,3.44,1
3971,internet,10.49,1
3972,computer games,10.54,1
3973,information technology and services,10.48,1
3974,information technology and services,3.37,1
3975,social media,3.46,1
3976,apps,3.46,1
3977,dating,3.46,1
3978,mobile,3.46,1
3979,information technology and services,3.45,1
3980,computer software,3.47,1
3981,internet,3.45,1
3982,internet,3.43,1
3983,information technology and services,3.47,1
3984,internet,3.46,1
3985,internet,3.43,1
3986,computer software,10.47,1
3987,financial services,10.47,1
3988,computer software,3.43,1
3989,internet,10.46,1
3990,computer software,3.47,1
3991,home furnishing retail,3.45,1
