,industry,total_score,dummies
717,telecommunication equipment,10.47,1
718,manufacturing,10.47,1
719,computer software,4.41,1
720,computer software,3.46,1
721,gambling and casinos,4.47,1
722,comnsumer services,10.47,1
723,information technology and services,3.46,1
724,internet,4.43,1
725,mechanical or industrial engineering,2.4,1
726,computer software,3.4,1
727,computer software,2.45,1
728,computer software,2.46,1
729,computer software,4.48,1
730,health,4.47,1
731,wellness and fitness,4.47,1
732,construction,4.6,1
733,computer software,4.47,1
734,retail,4.67,1
735,banking,2.46,1
736,finance,2.46,1
737,engineering software,2.46,1
738,software development and design,2.46,1
739,software,2.46,1
740,higher education,2.46,1
741,business supplies and equipment,4.49,1
742,computer software,2.46,1
743,computer software,8.41,1
744,computer software,2.45,1
745,internet,3.48,1
746,computer software,3.46,1
747,computer software,3.46,1
748,software development and design,2.45,1
749,software,2.45,1
750,radio stations,2.45,1
751,broadcasting,2.45,1
752,media and internet,2.45,1
753,hospitality,2.45,1
754,computer software,3.51,1
755,public relations and communications,3.47,1
756,internet,4.46,1
757,motor vehicle dealers,2.4,1
758,retail,2.4,1
759,information collection and delivery,2.4,1
760,media and internet,2.4,1
761,electrical/electronic manufacturing,3.44,1
762,computer software,2.45,1
763,software development and design,8.47,1
764,software,8.47,1
765,engineering software,8.47,1
766,business intelligence software(bi),8.47,1
767,enterprise resource planning software(erp),8.47,1
768,broadcast media,2.46,1
769,telecommunications,2.45,1
770,computer and network security,3.46,1
771,design,2.44,1
772,internet,4.45,1
773,internet,10.48,1
774,software development and design,3.46,1
775,software,3.46,1
776,engineering software,3.46,1
777,business intelligence software(bi),3.46,1
778,enterprise resource planning software(erp),3.46,1
779,e-learning,10.46,1
780,software development and design,4.48,1
781,software,4.48,1
782,search engines and internet portals,4.48,1
783,media and internet,4.48,1
784,content and collaboration software,4.48,1
785,financial services,3.47,1
786,television stations,7.41,1
787,broadcasting,7.41,1
788,media and internet,7.41,1
789,cable and satellite,7.41,1
790,telecommunications,7.41,1
791,movie theaters,7.41,1
792,recreation,7.41,1
793,hospitality,7.41,1
794,computer software,5.45,1
795,outsourcing/offshoring,2.45,1
796,computer software,2.44,1
797,software development and design,4.48,1
798,software,4.48,1
799,engineering software,4.48,1
800,financial,4.48,1
801,legal and hr software,4.48,1
802,software development and design,4.46,1
803,software,4.46,1
804,custom software and technical consulting,4.46,1
805,enterprise resource planning software(erp),4.46,1
806,network security hardware and software,4.48,1
807,computer equipment and peripherals,4.48,1
808,manufacturing,4.48,1
809,engineering software,4.48,1
810,software development and design,4.48,1
811,software,4.48,1
812,software development and design,8.48,1
813,software,8.48,1
814,engineering software,8.48,1
815,retail,4.47,1
816,computer and network security,4.47,1
817,real estate,4.46,1
818,engineering software,4.46,1
819,software development and design,4.46,1
820,software,4.46,1
821,software development and design,2.45,1
822,software,2.45,1
823,information technology and services,4.47,1
824,internet,4.48,1
825,computer networking,3.46,1
826,computer software,2.45,1
827,television stations,2.47,1
828,broadcasting,2.47,1
829,publishing,2.47,1
830,media and internet,2.47,1
831,newspapers and news services,2.47,1
832,film/video production and services,2.47,1
833,software development and design,4.45,1
834,software,4.45,1
835,software development and design,3.46,1
836,software,3.46,1
837,engineering software,3.46,1
838,customer relationship management software(crm),3.46,1
839,public relations and communications,3.47,1
840,computer software,3.47,1
841,search engines and internet portals,4.45,1
842,media and internet,4.45,1
843,banking,7.46,1
844,financial services,4.47,1
845,information and document management,4.48,1
846,business services,4.48,1
847,insurance,3.47,1
848,computer software,4.47,1
849,market research,4.46,1
850,computer software,3.47,1
851,finance,4.46,1
852,banking,4.46,1
853,brokerage,4.46,1
854,investment banking,4.46,1
855,apparel and accessories,4.46,1
856,department stores and superstores,4.46,1
857,retail,4.46,1
858,management consulting,4.46,1
859,business services,4.46,1
860,libraries,3.51,1
861,,3.51,1
862,telecommunications,3.47,1
863,information technology and services,3.47,1
864,banking,3.45,1
865,film/video production and services,10.47,1
866,broadcasting,10.47,1
867,media and internet,10.47,1
868,computer games,3.49,1
869,software development and design,4.46,1
870,software,4.46,1
871,engineering software,4.46,1
872,business intelligence software(bi),4.46,1
873,enterprise resource planning software(erp),4.46,1
874,consumer services,2.44,1
875,consumer goods,3.44,1
876,internet,4.5,1
877,software development and design,2.45,1
878,software,2.45,1
879,engineering software,2.45,1
880,financial,2.45,1
881,legal and hr software,2.45,1
882,enterprise resource planning software(erp),2.45,1
883,customer relationship management software(crm),2.45,1
884,business intelligence software(bi),2.45,1
885,electronic components,2.39,1
886,electronics,2.39,1
887,industrial machinery and equipment,2.39,1
888,manufacturing,2.39,1
889,international trade and development,4.45,1
890,information technology and services,2.45,1
891,software development and design,7.46,1
892,software,7.46,1
893,information technology and services,10.47,1
894,software development and design,9.46,1
895,software,9.46,1
896,electronic components,9.46,1
897,electronics,9.46,1
898,manufacturing,9.46,1
899,consumer electronics,9.46,1
900,power conversion and protection equipment,9.46,1
901,consumer goods,9.46,1
902,batteries,9.46,1
903,power storage equipment and generators,9.46,1
904,management consulting,9.46,1
905,waste treatment,9.46,1
906,environmental services and recycling,9.46,1
907,hospitals and clinics,9.46,1
908,business services,9.46,1
909,energy,9.46,1
910,utilities and waste treatment,9.46,1
911,healthcare,9.46,1
912,aerospace and defense,2.45,1
913,manufacturing,2.45,1
914,electronics,2.45,1
915,software development and design,4.47,1
916,software,4.47,1
917,consumer electronics,4.47,1
918,consumer goods,4.47,1
919,telecommunication equipment,4.47,1
920,manufacturing,4.47,1
921,engineering software,4.47,1
922,telecommunications,4.47,1
923,computer software,4.49,1
924,human resources and staffing,2.4,1
925,business services,2.4,1
926,information technology and services,3.39,1
927,leisure,4.46,1
928,travel and tourism,4.46,1
929,software development and design,2.45,1
930,software,2.45,1
931,financial,2.45,1
932,legal and hr software,2.45,1
933,internet,3.45,1
934,computer software,4.45,1
935,business supplies and equipment,2.46,1
936,colleges and universities,2.47,1
937,education,2.47,1
938,retail,4.45,1
939,hospital and health care,4.48,1
940,software development and design,4.48,1
941,software,4.48,1
942,engineering software,4.48,1
943,business intelligence software(bi),4.48,1
944,enterprise resource planning software(erp),4.48,1
945,computer software,2.4,1
946,telecommunications,4.51,1
947,information technology and services,3.46,1
948,computer software,3.45,1
949,internet,4.46,1
950,internet,2.4,1
951,information technology and services,10.48,1
952,hospital and health care,3.44,1
953,internet,10.46,1
954,computer software,10.47,1
955,marketing and advertising,10.44,1
956,management consulting,3.45,1
957,marketing and advertising,10.5,1
958,internet,3.45,1
959,leisure,10.45,1
960,travel and tourism,10.45,1
961,education management,10.49,1
962,entertainment,10.47,1
963,computer software,10.47,1
964,computer software,3.45,1
965,internet,3.4,1
966,e-learning,10.47,1
967,information technology and services,3.45,1
968,marketing and advertising,3.45,1
969,information technology and services,10.45,1
970,higher education,3.42,1
971,computer software,10.41,1
972,consumer electronics,3.41,1
973,analytics,10.47,1
974,financial services,10.47,1
975,computer software,3.47,1
976,consumer electronics,10.52,1
977,internet,10.47,1
978,oil and energy,3.42,1
979,sports,3.11,1
980,human resources,3.42,1
981,computer software,10.47,1
982,information technology and services,10.46,1
983,government administration,3.44,1
984,hospitality,10.48,1
985,information technology and services,3.28,1
986,civic and social organization,3.44,1
987,computer software,3.43,1
988,internet,10.47,1
989,information technology and services,3.45,1
990,information technology and services,3.44,1
991,information technology and services,3.43,1
992,computer software,3.47,1
993,information technology and services,10.5,1
994,computer software,10.47,1
995,internet,3.45,1
996,education management,3.46,1
997,hospital and health care,3.45,1
998,real estate,10.44,1
999,internet,10.47,1
1000,construction,10.47,1
1001,software development and design,4.42,1
1002,software,4.42,1
1003,engineering software,4.42,1
1004,business intelligence software(bi),4.42,1
1005,enterprise resource planning software(erp),4.42,1
1006,information services,10.46,1
1007,transportation/trucking/railroad,3.43,1
1008,education management,10.49,1
1009,internet,10.47,1
1010,accounting,3.45,1
1011,human resources and staffing,3.45,1
1012,business services,3.45,1
1013,software development and design,3.45,1
1014,software,3.45,1
1015,engineering software,3.45,1
1016,information technology and services,3.43,1
1017,marketing and advertising,3.38,1
1018,staffing and recruiting,3.45,1
1019,human resources,10.45,1
1020,staffing and recruiting,2.46,1
1021,search engine,10.46,1
1022,printing,4.41,1
1023,publishing,10.47,1
1024,information technology and services,3.41,1
1025,marketing and advertising,3.44,1
1026,music,3.45,1
1027,nonprofit organization management,10.45,1
1028,education management,3.28,1
1029,consumer services,3.45,1
1030,internet,10.47,1
1031,consumer services,10.47,1
1032,engineering software,10.47,1
1033,software development and design,10.47,1
1034,software,10.47,1
1035,retail software,10.47,1
1036,online media,3.22,1
1037,internet,3.38,1
1038,nonprofit organization management,10.46,1
1039,computer software,10.45,1
1040,computer software,3.41,1
1041,nonprofit organization management,10.43,1
1042,retail,10.44,1
1043,information services,3.44,1
1044,information and document management,3.43,1
1045,business services,3.43,1
